ZIP Code,New and Renewed to Total Units Ratio,Housing Value to Median Income Ratio,Premium to Exposure Ratio,Nonrenewal Rate,Renewal Resilience,New and Renewed to Nonrenewed Ratio,Losses to Owner Nonrenewed Ratio,Loss Burden per Exposure,Loss Burden per Unit,Housing Value to Log Median Income Ratio,Losses to Premium Ratio,Losses to Company Nonrenewed Ratio,New and Renewed to Nonrenewed and Income Growth Product,Fire Smoke Claims to Total Units Ratio,Change in Renewed to Income Growth Ratio,Change in Nonrenewed to Income Growth Ratio,Log of Average Median Income,Growth in Losses to Fire Disasters 5yr Ratio,Growth in Losses to Fire Disasters 10yr Ratio,Growth in Losses to Fire Disasters 3yr Ratio,New and Renewed to Nonrenewed and Income Growth Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to All Disasters 3yr Ratio,Premium Adequacy,Growth in Losses to All Disasters 5yr Ratio
95519,4.18931872646354,7.881349030110575,3166.274221157138,0.09468137658488392,0.905318623415116,10.640869565217391,576.6009389671361,189.20643615200274,189.20643615200274,42491.173733774755,0.059756806560758303,2886.015665796345,2.86980536520514,0.00718931872646354,0.08309337339163979,-0.06769262285882487,10.989492125486583,12.151307686734768,6.075653843367384,12.151307686734768,39.454977148206694,2.2093286703154122,4.050435895578256,16.734495324532453,3.4718021962099335
95521,4.144809300428309,11.363799902491582,3159.418927187436,0.0922073429856204,0.9077926570143796,10.890675241157556,1247.7873036649214,388.867836018764,388.867836018764,45375.99264232899,0.12308207457785289,5640.884615384615,6.3317584395784445,0.006526616357332245,0.017646884201514317,0.4839530341379271,10.658680193782226,1.806236725236532,0.903118362618266,1.806236725236532,18.73204866233949,0.3284066773157331,0.6020789084121773,8.124659934680185,0.5160676357818662
95524,4.228934817170111,9.771707644790794,4480.538950715421,0.08192408868846299,0.918075911311537,12.20183486238532,8813.61797752809,2494.155802861685,2494.155802861685,62057.71221462902,0.5566642384535985,39220.6,2.1242123813809717,0.006359300476947536,0.037790585377159784,0.900790135081034,11.169517229827898,-0.5,-0.25,-0.5,70.08940128299709,-0.09090909090909091,-0.16666666666666666,1.7964150216977812,-0.14285714285714285
95525,3.9317343173431736,8.908497404261256,3492.3874538745386,0.09434843531060252,0.9056515646893974,10.549504950495049,2762.9024390243903,836.0073800738007,836.0073800738007,43585.275503677265,0.23937990589970595,11924.105263157895,3.108065296519929,0.012915129151291513,0.0,-0.40113689933206415,10.882637718097747,1.0803526682134572,0.7202351121423048,1.0803526682134572,35.80750212202176,0.7202351121423048,1.0803526682134572,4.177460076448415,1.0803526682134572
95528,4.013850415512465,7.9091732246797335,3719.97783933518,0.11141678129298486,0.8885832187070152,8.944444444444445,187.52136752136752,60.77562326869806,60.77562326869806,46781.53784671561,0.016337630462755565,487.55555555555554,2.748980632008155,0.0110803324099723,0.1129055040256131,-1.178075141533711,11.09138977111306,-0.5,-0.25,-0.5,29.102819237147596,-0.09090909090909091,-0.16666666666666666,61.208386508659984,-0.14285714285714285
95531,4.222353337828726,5.75628315890506,3371.4516183412,0.11710521046097161,0.8828947895390284,8.566005471956224,1366.2888888888888,528.5962575859744,528.5962575859744,27341.321200817696,0.1567859537744311,4985.108108108108,5.099884113538715,0.01078894133513149,0.037332290773281415,-0.03513018181916435,10.850030327580804,0.1681995717182657,0.11213304781217713,0.1681995717182657,14.387866098916003,0.11213304781217713,0.1681995717182657,6.378122375928561,0.1681995717182657
95540,4.28311499272198,7.831442699928564,3130.7265890344493,0.1010371552313654,0.8989628447686346,9.957698815566836,2105.7150684931507,745.8379427462397,745.8379427462397,37235.77637515088,0.23823158028509425,9822.185303514378,3.3855790737303453,0.016254245511887432,0.048745192741485886,0.881323428148429,10.85114959009265,0.22222711248233995,0.11111355624116998,0.22222711248233995,29.28768271015097,0.040404929542243624,0.07407570416077998,4.1975963002188434,0.06349346070923999
95562,4.196798493408663,8.142180266211737,2831.6883239171375,0.12084456424079065,0.8791554357592093,8.284386617100372,753.4506329113924,280.2382297551789,280.2382297551789,30826.707967482238,0.09896506878536658,2081.2097902097903,2.5377003584512132,0.01224105461393597,-0.0033243636860127005,-1.5017466594629523,10.599925740357545,1.8709008460985457,1.2472672307323638,1.8709008460985457,27.04458837822683,1.2472672307323638,1.8709008460985457,10.104575404972229,1.8709008460985457
95567,3.98159509202454,4.987587308424925,3828.7147239263804,0.11318553092182031,0.8868144690781797,8.920962199312715,1357.5814977973569,472.6549079754601,472.6549079754601,32015.70607642993,0.12345001966893694,4815.171875,7.399170371683664,0.01687116564417178,0.029927993676678418,-0.1572613829221736,11.181269610934594,-0.5,-0.3333333333333333,-0.5,10.755741868862698,-0.3333333333333333,-0.5,8.100444233883136,-0.5
95570,4.122840690978887,10.499493457629173,4304.559500959693,0.11018325214567386,0.8898167478543262,9.044210526315789,1858.3582887700534,667.0115163147792,667.0115163147792,56356.72964603994,0.15495465126363578,6881.445544554455,2.57251246049141,0.007677543186180422,0.21762138939465708,-1.9043434944082793,10.984626641540755,-0.5,-0.25,-0.5,31.79683103602773,-0.09090909090909091,-0.16666666666666666,6.453501020105723,-0.14285714285714285
95605,4.185375901132852,6.006965163381531,2996.4939924476485,0.12423023236718943,0.8757697676328106,8.058162590879048,1242.113427856547,511.257809818057,511.257809818057,31463.235372518942,0.1706186667173801,4742.974522292993,5.4880927836255395,0.010985238585650533,0.02342140868088123,0.14337517306961506,10.957697536284813,3.0931180691454667,2.0620787127636446,3.0931180691454667,11.83179419538638,2.0620787127636446,3.0931180691454667,5.861023411092773,3.0931180691454667
95608,4.2128992628992625,6.75227134700162,4357.396498771499,0.11308949507353157,0.8869105049264684,8.865822130299897,2109.533060977455,856.3823095823096,856.3823095823096,42293.50934304,0.19653531869862048,12370.811002661934,3.824261064710162,0.01382063882063882,0.006908412930399815,0.7043585348215922,11.154338490183344,0.2822368832657576,0.18815792217717173,0.2822368832657576,20.553722854188212,0.09407896108858586,0.1411184416328788,5.0881439866463,0.11289475330630303
