ZIP Code,% Market Units,Total Res Units,Nonrenewed Policies (by Company),Housing Units,New Policies,Renewed Policies,Expiring Policies,Voluntary Market Units,Nonrenewed Policies (by Owner),Avg Median Income,Claims (Fire and Smoke),% Change - Expiring Policies,Median Owner Cost ($),% Nonrenewed Policies (by Company),% Change - Losses (Fire and Smoke),% Change - New Policies,% Change - Earned Premiums,% Change Median Income,Median Owner Cost ($) - 2019,% Change - Claims (Fire and Smoke),% Change - Renewed Policies,Median Gross Rent ($),% Change - Nonrenewed Policies (by Company),% Change - Zillow Home Value,Losses (Fire and Smoke) ($),% Change - Owner Cost ($),Zillow Mean Home Value ($),Earned Premium ($),% Nonrenewed Policies (by Owner),% Change - Nonrenewed Policies (by Owner),Zillow Home Value 2021 ($),Median Home Value - Census ($),Zillow Home Value 2018 ($),Zillow Home Value 2019 ($),Zillow Home Value 2020 ($),Avg % White-only Pop,Fire Disasters 3y,Fire Disasters 5y,All Disasters 3y,% Change White-only Pop,All Disasters 10y,Fire Disasters 10y,All Disasters 5y,All Disasters 1y,Fire Disasters 1y
90001,0.7666629699456582,9017.0,1073.0,14010.0,3162.0,22127.0,24980.0,6913.0,1780.0,48115.28571428572,126.0,0.0410441635199474,427.0,0.0429543634907926,-0.3527039017981984,0.3111782477341389,0.4604041156339429,0.7036174985978687,394.0,0.2833333333333332,0.0206317327003833,1262.0,0.5181818181818181,0.2619993006772694,4157573.0,0.0837563451776649,475901.735525,15005153.0,0.0712570056044835,0.0583756345177663,539794.0376,425200.0,427729.2684,448146.3649,487937.2712,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90002,0.8308748728382502,7864.0,1022.0,13577.0,3448.0,21908.0,25021.0,6534.0,2091.0,43639.71428571428,95.0,0.068268434134217,465.0,0.0408456896207186,-0.595781204538842,0.1076555023923444,0.2661158291087737,0.6517058823529411,401.0,-0.3571428571428572,0.044131455399061,1287.0,0.4851063829787234,0.3036880631175744,3793822.0,0.1596009975062344,467336.64600000007,15336299.0,0.0835698013668518,0.1326315789473684,539991.8223,411500.0,414203.242,435521.9346,479629.5851,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90003,0.8184037558685446,10650.0,1304.0,18501.0,4525.0,26933.0,30904.0,8716.0,2667.0,44032.857142857145,133.0,0.0838266953713671,555.0,0.0421951850893088,0.9901144215207992,0.1526861451460885,0.3045148169681706,0.5926098206238917,489.0,1.333333333333333,0.0579198033492087,1293.0,0.3742138364779874,0.2814024906717642,4313440.0,0.1349693251533742,493118.89975,20549601.0,0.0862995081542842,0.2099173553719009,565776.302,430800.0,441528.9545,460767.8037,504402.5388,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90004,0.904899135446686,5205.0,434.0,25100.0,2182.0,15683.0,17821.0,4710.0,1704.0,53401.0,48.0,0.0142501696448766,829.0,0.0243532910611076,0.7257641120883049,0.1578947368421053,0.3434162878057423,0.3450763186707026,781.0,-0.0833333333333333,-0.006382435537401,1530.0,0.0917431192660549,0.1533974433481875,3316605.0,0.0614596670934699,1329224.70025,39605615.0,0.095617529880478,0.1974683544303797,1462698.203,1148400.0,1268164.943,1242812.682,1343222.973,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90005,0.9087591240875912,1096.0,125.0,18128.0,521.0,3357.0,3866.0,996.0,384.0,42199.0,16.0,0.0157068062827225,1123.0,0.0323331608898085,10.78806290733085,0.016,0.3831515654918678,0.6251809864144666,854.0,-0.1428571428571429,0.001199040767386,1413.0,-0.1212121212121212,0.1136295489939895,885674.0,0.3149882903981265,934656.434475,13665743.0,0.0993274702534919,0.2045454545454545,1011805.93,964700.0,908565.9867,885748.8607,932504.9605,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90006,0.7418159357628166,3238.0,339.0,20912.0,1224.0,6790.0,7879.0,2402.0,750.0,40308.857142857145,41.0,0.0908130939809925,664.0,0.0430257646909506,18.936829456698995,0.3133802816901407,0.3489097222584114,0.4751997632435631,587.0,0.1666666666666667,0.0438489646772228,1234.0,0.9014084507042252,0.1632124792087796,3312606.0,0.131175468483816,752198.5666,10671112.0,0.0951897448914836,0.1988950276243093,829296.3587,716900.0,712936.2636,709798.0986,756763.5455,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90007,0.7649338069099129,3097.0,268.0,13513.0,1143.0,7147.0,8138.0,2369.0,723.0,30258.85714285714,33.0,0.1236951983298537,676.0,0.0329319243057262,0.4733003199353329,0.3811475409836065,0.3985644678129278,0.5618552232336368,514.0,-0.1428571428571429,0.0549768518518518,1252.0,0.7454545454545454,0.2657389500785834,1399265.0,0.3151750972762646,799218.0227,10749071.0,0.0888424674367166,0.7593984962406015,908164.224,717300.0,717497.2564,745163.8486,826046.7618,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90008,0.9513750498206456,5018.0,375.0,15900.0,2012.0,17624.0,19527.0,4774.0,1528.0,48031.857142857145,83.0,0.0226141078838173,525.0,0.0192041788293132,-0.5717398470207459,0.1169102296450939,0.5302440387599885,0.6872356103818127,541.0,-0.3933333333333334,0.013516609392898,1377.0,0.1443298969072164,0.3225889135850766,6279337.0,-0.0295748613678373,926504.14545,26759003.0,0.0782506273365084,0.1005586592178771,1089768.285,781600.0,823965.9911,848870.1626,943412.1431,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90011,0.7544350386455649,13585.0,1550.0,25531.0,5015.0,30290.0,34732.0,10249.0,2892.0,44151.42857142857,134.0,0.0778565421122192,605.0,0.0446274329148911,5.142057787355951,0.2742214532871971,0.2763099313781885,0.5900248344370861,531.0,1.0,0.0393220338983051,1307.0,0.5701219512195121,0.2649856666779269,5187047.0,0.1393596986817326,492565.30845,24815880.0,0.0832661522515259,0.2758064516129033,560746.111,452100.0,443282.5808,459312.416,506920.126,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90012,0.9048140043763676,914.0,54.0,15751.0,296.0,2660.0,2939.0,827.0,225.0,51050.0,18.0,0.0354706684856753,662.0,0.0183735964613814,-0.9060369712822042,0.6842105263157894,0.3280599389648502,0.7437993090290311,678.0,-0.5,0.0303951367781154,1859.0,0.1764705882352941,0.1020416980051359,485369.0,-0.023598820058997,629062.5305,8739469.0,0.0765566519224225,0.0517241379310344,670797.2062,633000.0,608685.8668,608389.9886,628377.0604,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90016,0.905078369905956,7975.0,634.0,18787.0,3333.0,24413.0,27477.0,7218.0,2430.0,53801.71428571428,80.0,0.0444839857651244,599.0,0.0230738435782654,-0.5073259336143532,0.1539440203562341,0.3079839863025815,0.6358676886955321,573.0,-0.45,0.0300200133422281,1436.0,0.2331288343558282,0.2832238359903587,3213968.0,0.0453752181500872,818218.6162,27547927.0,0.088437602358336,0.1401709401709401,946183.5035,677500.0,737348.7594,752640.3767,836701.8252,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
90018,0.8395846852693056,7705.0,693.0,17654.0,3082.0,21282.0,24076.0,6469.0,2101.0,50381.42857142857,93.0,0.0348133198789102,629.0,0.0287838511380628,-0.4224213036705886,0.1918767507002801,0.3026232499940888,0.7051230550869018,544.0,-0.5,0.0254124786648966,1356.0,-0.0319148936170212,0.2739189876357206,8322286.0,0.15625,781535.1312249999,23537515.0,0.0872653264661904,0.1628865979381444,899101.312,704300.0,705775.8937,726408.3681,794854.9511,45.85714285714285,2.0,2.0,2.0,-16.4,3.0,3.0,2.0,0.0,0.0
