ZIP Code,% Market Units,Earned Premium ($),Housing Units,Nonrenewed Policies (by Company),% Change - Nonrenewed Policies,% Nonrenewed Policies (by Company),Median Home Value - Census ($),% Change - Earned Premiums,% Change - Claims (Fire and Smoke),% Change - Nonrenewed Policies (by Company),Median Owner Cost ($),% Change - Renewed Policies,Zillow Home Value 2021 ($),Avg Median Income,% Change - New Policies,Losses (Fire and Smoke) ($),Median Gross Rent ($),Zillow Home Value 2018 ($),% Change - Losses (Fire and Smoke),% Change - Zillow Home Value,Zillow Home Value 2019 ($),% Change Median Income,% Change - Nonrenewed Policies (by Owner),Avg % White-only Pop,Zillow Home Value 2020 ($),Total Res Units,Voluntary Market Units,% Change - Expiring Policies,% Nonrenewed Policies (by Owner),Zillow Mean Home Value ($),% Change White-only Pop,All Disasters 10y,Fire Disasters 5y,All Disasters 5y,All Disasters 3y,Fire Disasters 3y,All Disasters 1y,Fire Disasters 10y,Fire Disasters 1y
90001,0.7666629699456582,15005153.0,14010.0,1073.0,0.223127035830619,0.0429543634907926,425200.0,0.4604041156339429,0.2833333333333332,0.5181818181818181,427.0,0.0206317327003833,539794.0376,48115.28571428572,0.3111782477341389,4157573.0,1262.0,427729.2684,-0.3527039017981984,0.2619993006772694,448146.3649,0.7036174985978687,0.0583756345177663,45.85714285714285,487937.2712,9017.0,6913.0,0.0410441635199474,0.0712570056044835,475901.735525,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90002,0.8308748728382502,15336299.0,13577.0,1022.0,0.2492957746478872,0.0408456896207186,411500.0,0.2661158291087737,-0.3571428571428572,0.4851063829787234,465.0,0.044131455399061,539991.8223,43639.71428571428,0.1076555023923444,3793822.0,1287.0,414203.242,-0.595781204538842,0.3036880631175744,435521.9346,0.6517058823529411,0.1326315789473684,45.85714285714285,479629.5851,7864.0,6534.0,0.068268434134217,0.0835698013668518,467336.64600000007,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90003,0.8184037558685446,20549601.0,18501.0,1304.0,0.266522210184182,0.0421951850893088,430800.0,0.3045148169681706,1.333333333333333,0.3742138364779874,555.0,0.0579198033492087,565776.302,44032.857142857145,0.1526861451460885,4313440.0,1293.0,441528.9545,0.9901144215207992,0.2814024906717642,460767.8037,0.5926098206238917,0.2099173553719009,45.85714285714285,504402.5388,10650.0,8716.0,0.0838266953713671,0.0862995081542842,493118.89975,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90004,0.904899135446686,39605615.0,25100.0,434.0,0.1746031746031746,0.0243532910611076,1148400.0,0.3434162878057423,-0.0833333333333333,0.0917431192660549,829.0,-0.006382435537401,1462698.203,53401.0,0.1578947368421053,3316605.0,1530.0,1268164.943,0.7257641120883049,0.1533974433481875,1242812.682,0.3450763186707026,0.1974683544303797,45.85714285714285,1343222.973,5205.0,4710.0,0.0142501696448766,0.095617529880478,1329224.70025,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90005,0.9087591240875912,13665743.0,18128.0,125.0,0.115702479338843,0.0323331608898085,964700.0,0.3831515654918678,-0.1428571428571429,-0.1212121212121212,1123.0,0.001199040767386,1011805.93,42199.0,0.016,885674.0,1413.0,908565.9867,10.78806290733085,0.1136295489939895,885748.8607,0.6251809864144666,0.2045454545454545,45.85714285714285,932504.9605,1096.0,996.0,0.0157068062827225,0.0993274702534919,934656.434475,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90006,0.7418159357628166,10671112.0,20912.0,339.0,0.3968253968253967,0.0430257646909506,716900.0,0.3489097222584114,0.1666666666666667,0.9014084507042252,664.0,0.0438489646772228,829296.3587,40308.857142857145,0.3133802816901407,3312606.0,1234.0,712936.2636,18.936829456698995,0.1632124792087796,709798.0986,0.4751997632435631,0.1988950276243093,45.85714285714285,756763.5455,3238.0,2402.0,0.0908130939809925,0.0951897448914836,752198.5666,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90007,0.7649338069099129,10749071.0,13513.0,268.0,0.7553191489361701,0.0329319243057262,717300.0,0.3985644678129278,-0.1428571428571429,0.7454545454545454,676.0,0.0549768518518518,908164.224,30258.85714285714,0.3811475409836065,1399265.0,1252.0,717497.2564,0.4733003199353329,0.2657389500785834,745163.8486,0.5618552232336368,0.7593984962406015,45.85714285714285,826046.7618,3097.0,2369.0,0.1236951983298537,0.0888424674367166,799218.0227,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90008,0.9513750498206456,26759003.0,15900.0,375.0,0.1098901098901099,0.0192041788293132,781600.0,0.5302440387599885,-0.3933333333333334,0.1443298969072164,525.0,0.013516609392898,1089768.285,48031.857142857145,0.1169102296450939,6279337.0,1377.0,823965.9911,-0.5717398470207459,0.3225889135850766,848870.1626,0.6872356103818127,0.1005586592178771,45.85714285714285,943412.1431,5018.0,4774.0,0.0226141078838173,0.0782506273365084,926504.14545,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90011,0.7544350386455649,24815880.0,25531.0,1550.0,0.3776371308016877,0.0446274329148911,452100.0,0.2763099313781885,1.0,0.5701219512195121,605.0,0.0393220338983051,560746.111,44151.42857142857,0.2742214532871971,5187047.0,1307.0,443282.5808,5.142057787355951,0.2649856666779269,459312.416,0.5900248344370861,0.2758064516129033,45.85714285714285,506920.126,13585.0,10249.0,0.0778565421122192,0.0832661522515259,492565.30845,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90012,0.9048140043763676,8739469.0,15751.0,54.0,0.08,0.0183735964613814,633000.0,0.3280599389648502,-0.5,0.1764705882352941,662.0,0.0303951367781154,670797.2062,51050.0,0.6842105263157894,485369.0,1859.0,608685.8668,-0.9060369712822042,0.1020416980051359,608389.9886,0.7437993090290311,0.0517241379310344,45.85714285714285,628377.0604,914.0,827.0,0.0354706684856753,0.0765566519224225,629062.5305,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
