ZIP Code,New and Renewed to Total Units Ratio,Nonrenewal Rate,Renewal Resilience,New and Renewed to Nonrenewed Ratio,New and Renewed to Nonrenewed and Income Growth Product,Change in Nonrenewed to Income Growth Ratio,Log of Average Median Income,Premium Adequacy,Premium to Exposure Ratio,Housing Value to Median Income Ratio,Housing Value to Log Median Income Ratio,Losses to Owner Nonrenewed Ratio,Losses to Premium Ratio,Fire Smoke Claims to Total Units Ratio,Loss Burden per Exposure,Loss Burden per Unit,Growth in Losses to Fire Disasters 10yr Ratio,Losses to Company Nonrenewed Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to All Disasters 3yr Ratio,New and Renewed to Nonrenewed and Income Growth Ratio,Growth in Losses to Fire Disasters 3yr Ratio,Growth in Losses to Fire Disasters 5yr Ratio,Change in Renewed to Income Growth Ratio,Growth in Losses to All Disasters 5yr Ratio
94044,4.1764092846991945,0.07602911075733455,0.9239708892426655,13.186359557283877,6.127103690549195,0.7841768634612167,11.79175453642501,8.81982015559123,4596.091425864519,8.787639544128409,98489.00082362953,1921.1701012923506,0.11338099670502473,0.00738986262434865,521.1094268119375,521.1094268119375,0.12455786598089892,11458.979166666666,0.04151928866029964,0.07473471958853936,28.378837237922824,0.1868367989713484,0.1868367989713484,-0.0031811231639695624,0.06227893299044946
94061,4.168031769669893,0.08989065339808718,0.9101093466019128,11.132250580046403,4.7532230658670365,1.1379905757392064,11.706223464362704,13.36747867383116,4947.669148672127,13.681744802306921,141798.9221761681,1112.4528161133906,0.07480842306916484,0.006825515016133036,370.12732688011914,370.12732688011914,2.1121266925536504,8876.44642857143,2.1121266925536504,3.1681900388304753,26.072204325285103,3.1681900388304753,3.1681900388304753,-0.0055142924211542,3.1681900388304753
94062,4.199857244825125,0.090459084094702,0.909540915905298,11.039399624765478,6.549239724127682,1.1216575876808603,12.158083660331142,30.407132228632918,9641.36152748037,12.212417624711293,191480.7694855583,1023.1623800383877,0.032887021126522045,0.007375684035212943,317.0756602426838,317.0756602426838,-0.33148925393465073,4494.667790893761,-0.33148925393465073,-0.4972338809019761,18.608013938824676,-0.4972338809019761,-0.4972338809019761,-0.014228005448914845,-0.4972338809019761
94063,4.06911873611454,0.09314320388349515,0.9068567961165048,10.738762214983714,8.430392932924791,0.45272707192821343,11.376855342291833,16.144982165703873,4111.849173043693,13.866955624628652,106381.07786261018,787.5725190839695,0.06193874912567319,0.00715872624043446,254.68279437176005,254.68279437176005,-0.07381623444709147,4585.422222222222,-0.07381623444709147,-0.1107243516706372,13.679197971849826,-0.1107243516706372,-0.1107243516706372,0.007188959444138442,-0.1107243516706372
94066,4.208961430502131,0.08206106870229007,0.9179389312977099,12.227725762609484,5.337559829545214,1.9868127910014808,11.652003944023868,7.166037200451432,4610.216654537894,9.654453695381939,95219.98242362827,2117.8343600273784,0.13954714049447078,0.008836677409294105,643.3425512007485,643.3425512007485,-0.30351090223652866,15908.25706940874,-0.30351090223652866,-0.455266353354793,28.012290653484495,-0.455266353354793,-0.455266353354793,-0.015084614729969859,-0.455266353354793
94070,4.233254994124559,0.08752534651815227,0.9124746534818478,11.432878451285307,6.121908846823366,1.8221910301071862,12.17949250267483,13.553592327195604,5870.826909518214,10.148771465541143,162282.1178769085,1329.7842712842712,0.07378117740737092,0.005170387779083431,433.1565217391304,433.1565217391304,-0.2881742625199074,9726.021108179419,-0.2881742625199074,-0.4322613937798611,21.351299562339808,-0.4322613937798611,-0.4322613937798611,-0.00956658933687669,-0.4322613937798611
94080,4.185214741729541,0.081423433128877,0.918576566871123,12.31092616303884,5.865700651062072,1.648824225136536,11.617102709410137,7.50970363906258,4335.254280325014,9.857586456598249,94170.82347165958,1908.231175059952,0.13316104710156418,0.008923389437028438,577.2869994196169,577.2869994196169,0.22188889967925415,15421.170542635658,0.22188889967925415,0.3328333495188812,25.838158475467413,0.3328333495188812,0.3328333495188812,-0.0015906016787791172,0.3328333495188812
94085,4.078107810781078,0.10309838738901975,0.8969016126109802,9.772407732864675,7.543606366926225,0.6223164404425189,11.873026533037118,11.826032799865999,4271.877887788779,9.233582608985959,111480.44854587053,985.065,0.08455921076181448,0.006600660066006601,361.2266226622662,361.2266226622662,13.203752292283818,7138.152173913043,6.601876146141909,9.902814219212864,12.659721127027261,19.805628438425728,19.805628438425728,0.06336468011117495,7.9222513753702914
94086,4.181216134858519,0.0963868455214193,0.9036131544785807,10.392817059483725,5.402641650617632,0.7015374395201714,11.9147047411186,5.862628289984685,4629.407134256472,11.036586157692538,138433.7539693953,2229.670633234169,0.1705719603114412,0.00918121613485852,789.6470499698977,789.6470499698977,0.07346516546302197,16395.046875,0.03673258273151098,0.05509887409726647,19.99219149016632,0.11019774819453294,0.11019774819453294,-0.05593433418178844,0.04407909927781318
94087,4.232558139534884,0.08561690260859461,0.9143830973914054,11.650305360778104,5.342727865955298,0.44442988225883595,12.04803107265308,25.377139717592616,4308.024406278248,12.615043505613466,178799.4120375082,518.656791363294,0.03940554416803535,0.005670145451557236,169.76004601857178,169.76004601857178,-0.2788599440788681,4716.4611872146115,-0.13942997203943405,-0.20914495805915106,25.404553330194016,-0.41828991611830213,-0.41828991611830213,-0.01845768747719035,-0.16731596644732086
94102,4.222614840989399,0.11529126213592233,0.8847087378640777,8.385964912280702,7.805355813233608,1.467454031548225,10.843369245108814,4.54561001886993,18807.429328621907,17.20974332254329,81250.41249954767,9007.003846153846,0.21999247534406982,0.0353356890459364,4137.492932862191,4137.492932862191,-0.11985128769141286,93672.84,-0.11985128769141286,-0.1797769315371193,9.009763192444272,-0.1797769315371193,-0.1797769315371193,-0.03296852307855569,-0.1797769315371193
94103,3.7386018237082066,0.11585845347313237,0.8841415465268676,8.34841628959276,12.473097623244406,0.8062188878841219,11.35196498432549,12.614357203015818,17693.763931104357,11.671919121857002,87532.02548827641,3624.17277486911,0.07927474891553903,0.03343465045592705,1402.6686930091184,1402.6686930091184,-0.1796286251313491,23073.9,-0.1796286251313491,-0.26944293769702365,5.587710178300437,-0.26944293769702365,-0.26944293769702365,0.007987038111158832,-0.26944293769702365
