RegionName,State,CountyName,City,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30
90011,CA,Los Angeles County,Los Angeles,272797.7490599488,273731.4106397926,273037.591936503,273652.1847749497,274956.914699302,276678.95447824994,277833.37795939384,277705.1619450031,276625.44397886354,275391.3357513806,273858.1883112522,272883.6229895719,275486.2308186047,282141.10216133256,290950.62073130626,298664.7166155945,304613.2301639629,310437.0498182916,311748.6477118309,309220.3600024653,303019.7452631903,298755.4546069014,297763.6016942016,299867.25467547355,307020.5468512143,317530.2433881716,330374.21726593183,341156.9032823862,349271.61892032454,355331.6640128838,356160.9583668478,354162.46396904794,350324.7996663622,350245.38424138987,351958.7464863837,355216.1118931615,361426.3805594514,370859.60622057767,381929.404486356,390755.8518958753,396572.8574185777,400531.4648439249,405944.94847241946,414914.225443447,425799.82686538174,436154.9143857239,444175.7931080998,449685.92718466365,449611.568216297,444399.93909965135,437465.7227200711,432842.2918532015,430415.02616608026,429260.7017293247,430912.23393755144,436618.18979155045,444311.9150473696,452057.5406784344,459012.6096089214,465947.3180137458,470473.39691126527,472296.7171782778,471934.34819607466,471117.722858695,469347.896676577,466541.3185595579,467065.4589369952,472195.0474767477,482181.7778438998,493191.41180387576,504184.5018043159,514242.73531885416,519644.9614338179,522628.6766653724,524049.975946045,528465.8079381642,533696.1512593841,539563.379239683,546289.6640603323,551445.4910509711,555180.7720171581,558612.181952254,563375.1906302217,568846.2524296712,574224.2606412022,579383.7170137499,584957.1512040094,588510.1178768795,591844.7419171302,594385.119962996,599804.1760513033,604033.3876829684,607852.2315842045,607887.1946458361,608095.0273599833,606895.814180798,601650.4798391327,592155.4932743123,583610.3225116818,581135.661317302,583301.6063105642,588186.7552181085,595174.8122685611,604147.5217891011,612460.5939197178,619282.528598422,625287.8379040855,629522.0832004502,627872.0789056752,622266.6851759623,616446.4303648528,614702.8941760533,615772.761912669,616822.4380953821,619606.3281127439,623901.2376283028,630114.6091708906,635737.6252276987,640640.625466595,644457.22285643,643705.914227238,638951.6117106517,629571.2441195976,622052.595559149
90650,CA,Los Angeles County,Norwalk,378354.07051934866,378582.8233062011,378376.6783431118,379111.5851296697,380911.7873159671,382967.7995365347,384956.049962612,385753.7686557311,385075.4485553005,383050.888393098,379979.57198452554,376729.8923692719,377752.9493764338,383985.3669964042,393145.4059089756,400585.0505630866,405657.0097991227,410066.1566412365,410987.5498217857,408651.3314629837,403778.84271908994,400399.0642893898,399348.17494290386,400461.1566066819,406669.59429217526,416589.1571821558,428519.1274707566,437818.94373711897,444611.3921931279,449898.97013896145,451647.55668354785,451589.2717951288,450732.4785247851,452486.4707340083,455188.8863383707,458687.05476652994,464090.667970856,471483.9171121915,478628.38850716705,483937.85730880057,487583.9303855321,490183.50711344095,492818.3682074477,496982.81006445666,503038.06263003335,509708.96239357424,515137.8022976502,518717.60052337387,517863.50102784554,513576.7131256333,507904.6773265446,504130.0378115827,502051.3548953243,501053.6811255583,502756.1633105637,507013.2960129717,513316.7706922271,519835.5758804472,526083.272218274,531650.9793877656,534437.9233483125,534914.5278576752,534891.6007252038,535628.61660636,535877.290541487,534552.9663605312,535717.898851045,541220.4348585127,551271.4617747288,562855.3065076923,575183.472328787,587641.2193401033,595973.3004832176,601888.9686252439,604573.6122152791,609806.7234890335,616145.0989868714,624064.8142802353,632360.9094761176,639154.9010576421,645520.2803146942,651857.3655900508,659199.2744800973,667366.5542160558,676314.4271644142,687691.2477006735,699869.3114594364,711266.1059500421,719080.5782963078,723603.5853337018,726039.4166389732,726741.2819904462,726352.3421470771,724939.3477597554,723513.5770954689,721769.4696962369,714827.1930875693,704943.8538054995,695789.8450042902,693061.8404925358,695773.900478317,701762.9878171206,710941.4326556284,721553.0566969356,732017.0292740231,740804.1299826353,748492.2584313027,754665.130183951,756099.5910899161,754036.9571596015,752373.3013704953,754147.1467216058,757937.337644878,760957.3341626297,765207.9241905701,770500.1413258278,776689.7189946022,781487.168035285,784865.0563896946,787343.7072296739,786610.1536208,783285.3945064284,776680.0069177231,771499.6169419534
91331,CA,Los Angeles County,Los Angeles,336296.16254312766,337072.9010533448,336946.81907983107,337691.7656555676,339016.05042050616,340929.30483431614,342736.9109090358,343542.2766005456,343385.2228654085,341685.55731764954,338803.28602960793,335297.44117825705,336875.862589821,343956.2454033726,354156.00334384595,362637.78602061584,368886.4226091152,374599.5654467751,376076.0974837348,373809.2154418011,368492.6428814665,364732.4913859209,363513.14666024706,364423.77127820393,371028.4610577689,381539.3320910776,394654.9281381062,404860.6797317826,412059.2146341375,417252.1232997761,418449.9836887711,417343.3199518211,414543.5679104704,414569.874491385,416589.7644816094,420251.53121810127,426587.0857979324,435599.1547490121,445887.16066602914,454615.3411626607,461536.0731403159,467203.9459514503,473193.4221879354,480580.17592902394,489269.1264390764,498085.7588583964,505035.5140780409,509522.8414278078,507738.0890892122,501536.45338733104,493554.68078205246,487950.3729205781,484494.03411896975,483070.50661110255,485409.6175477319,491413.8407006724,499434.9230037409,507371.6802097519,514771.1869298197,521703.0486647149,525408.2403049823,526449.3748554763,525806.0995785149,525782.0772145948,524892.9932982698,522923.1032819274,524365.8439475839,530827.9883104471,542475.7767192614,555429.6156807457,569120.1152228207,582420.0431981896,590686.2716978124,595725.3629674312,597872.4818169783,603497.7730756347,611205.3738419075,621102.4982895041,631575.3543595871,637804.1642983095,641180.4180083695,643021.8942186156,646550.4840109007,650496.8416915975,657340.4234817326,667609.6045322649,681098.7480589052,692022.7634527577,700197.7749159886,705030.1432971907,708235.198916357,709488.9131926439,709749.247894077,709797.2490726635,709641.7540586684,707828.6824886122,698957.8989299888,686161.5944681757,674560.71158414,670470.970407185,672882.0065147603,678506.3069762505,688243.2163661037,701372.3099733681,715248.9836333226,727174.6821947173,735695.3704939047,741902.5826492711,742347.7942084732,738898.4358640224,734599.1256087454,734115.6666165701,735890.18469029,738470.7839898769,743231.422111105,750232.7659638658,757811.0808266932,764126.4689624797,769532.128575405,775179.7829473467,775682.123526684,772493.7779862047,765187.549193719,760378.7808959172
90044,CA,Los Angeles County,Los Angeles,292682.4636376155,294284.5881512034,294559.51059675915,295333.65261605824,296319.0653835213,297981.9348030472,299382.3209032283,299579.1635624699,299118.12806754163,298401.91450425284,297233.31371610315,295528.63605200633,297620.003671488,304038.79514774674,313214.68646304874,320692.63738294085,326550.4716913653,331915.92524693144,332998.75471148215,330467.15437883046,324918.20237823116,321278.7447925401,320346.4538477739,321731.0405589215,328830.92858541204,339982.17679230706,353710.603486429,364575.00897921855,372260.7811321833,378095.3381781241,379165.9234037143,377619.28347246145,374485.4927242623,375022.7259619129,377688.8916027535,381301.51949616853,387497.50026791246,396661.3957444113,407799.0480785983,417163.940077017,423973.5272616193,428829.38910935057,434458.4892528375,442616.62570396176,452523.9240035291,461879.2467327758,469189.7043422312,473630.8370803993,473415.70400946675,469386.6305389945,464620.0572914784,461257.61849560565,459079.48042929725,457536.4721665035,459478.5255326578,465503.2091501337,474343.6794611905,482735.2684159006,490125.80497427005,496756.1942989365,500969.8300012546,502028.3007918962,501538.5497006189,501149.45514375094,500505.2607463962,498427.13289470907,499523.3247799126,504771.38790498,514574.5026503987,525069.4397979233,536472.4874874093,547819.5878524325,554924.7453482186,559061.9001511391,560997.073663063,565461.9031839279,570954.4141719296,577563.2054438104,585584.8426621692,593290.3522805528,600260.8066401336,606214.0202374072,611552.9778457064,616585.0764261993,621549.4040554954,626732.5401146393,632294.0066123126,636666.6713251752,640665.2779443734,643694.4105072184,647381.6174154368,649725.7271303373,651255.2050570997,650716.2734997655,649819.9032019709,647576.779036214,640900.0821461639,630936.9400775923,622562.3595659739,620059.4969226377,622684.3725619696,627134.1940292373,634307.6815432691,643545.9044131121,652685.7676406562,660721.5839498914,666745.892250193,670807.3261372779,668748.0020781058,663202.5194750037,657464.4613171398,655961.3163438481,657117.0441224988,658460.1871565002,661624.5947856646,666417.004862032,672842.3707171162,678200.7991649453,682472.9695043485,685391.3986810538,684214.4565294349,679904.8187092309,672211.897064183,665171.1177399865
92336,CA,San Bernardino County,Fontana,363423.64423844987,364745.96273911255,365506.5740304473,366494.4272194638,368010.1867952741,369999.2316312658,371824.8791854919,373064.97735119937,373700.74365785386,373981.6690181422,373995.0094153167,374014.0197819215,375343.6592396677,378435.8080476304,382186.3697463029,385707.80543517944,388223.2366180558,390515.8217177511,391993.085555539,393276.7661947121,392639.57437705854,391344.7529444729,389382.9212059567,389310.3199643716,391577.76239539497,395976.6356828791,401150.1512190719,405670.53571545146,408789.0725282653,410954.8070788963,412415.45297975925,414050.4585618251,416958.7893089678,420896.7689296856,425285.413498052,429921.138727861,433954.10520858824,436750.74550507654,438148.7462050139,439221.7344868377,440942.79524775734,442767.7040856289,444439.7295435883,446460.6761279027,448784.5149713067,451780.1623893315,454049.69478641736,455375.1049186073,455803.9493500046,456698.8925789694,458185.6727116856,459457.5436834619,459506.6594653165,459107.5980217736,459003.9957218372,459650.07663166913,460894.1131150035,462851.5764400049,465359.9784938742,468347.02630912047,471134.01017322415,473682.0908796648,475824.514940364,477683.9995839584,478788.5634186562,479223.46969000826,479590.299340819,481480.9838140209,486081.45595062315,492951.1316040359,501732.42749694287,511054.9188478153,519669.1067292658,528224.670002391,537200.2303837369,548168.0472818098,560725.963693215,573361.8049400375,584756.2045858934,594126.2658944585,602168.0818819817,609976.0233870904,618315.3630434083,627003.6584871592,637162.4841716167,648065.1925150278,660777.5555352023,673248.1876265971,684091.2712057424,691766.4165918333,694429.8214154819,691452.2202134974,684742.5416784517,678046.5325787888,673170.3833889883,669010.0331847788,663393.8385489847,658346.442216581,654789.103883675,654376.94113691,656100.3540397945,659791.4840953574,664397.7176390992,670213.1541273539,675668.6150537765,681484.2647285573,686122.0720010512,690731.5398626089,694230.5087582135,697280.4295123274,700405.0040582414,704484.3552104812,709009.8198757806,713327.8183846675,716952.7686840767,719355.3232936113,721566.7834226176,723191.3085162919,725157.5086744158,726301.5105393083,726263.7385985368,725373.1727614863,722897.4207922191,720234.6881795014
94565,CA,Contra Costa County,Pittsburg,299714.5922125491,303774.50064211845,308138.7973493858,312140.1031669022,316425.2609483685,320616.6561366476,323799.53295317735,325934.13994499535,328198.9176708888,331449.68973285606,335215.1004995704,339438.95918556355,345220.70689094247,351534.220115983,357492.08685553493,361513.5697816675,365055.64101031126,367730.1592044528,369673.69412940944,370435.1496964392,370978.35007340554,372411.87529489474,374663.7991873554,377953.87960438034,382697.3970546198,387988.7021197174,393053.2364929959,396283.79737813416,398946.39431812795,401687.0469298006,404520.0552293456,407421.8448087435,410532.6021301103,413783.308758256,416995.6571628233,420213.0927911331,425385.0165637755,431097.5096648711,436307.63157059014,438875.25508513255,440921.29840590333,443365.27284642466,445817.8207154733,448375.2356329118,449628.7530850467,451070.447073957,451385.18667430966,451715.37728644535,452796.13175827946,454213.82187969534,455800.4112513964,455531.6662452694,454177.21128216456,453558.4531005539,454477.15920712333,456467.84584077453,458108.8517494274,459068.6173550831,461072.7090793441,463207.1739676373,466905.08948696987,470254.55118057394,473661.5648517992,475273.7789673081,475243.9847970793,473952.2103554497,473924.65730628534,476601.59431588434,482500.04513119435,490526.38460334786,500180.7974796439,510062.4957264547,519791.3532614848,529649.2069827496,540371.9053937227,551435.5805552987,562772.1656168286,573548.8149707933,582644.6733630076,588181.8874023109,590623.5516001018,591658.3301837522,593749.9071217948,597093.8921162406,604492.542260286,615130.6124247679,628192.5948028202,638276.435276635,643671.5416657971,643869.7854248188,639586.2312094681,632134.015744724,622913.4925231704,614512.9091523509,606525.7817726376,598515.7216972648,589015.6712413345,580857.1112421914,575787.8257152747,575207.1806741422,577959.8970771668,582205.7908625426,587059.7623944746,591072.282536821,594004.6548096194,596814.1976078546,598453.9030812877,600039.1659159699,600371.2306211063,601160.0218000846,603464.8092263779,607379.9316261512,610974.6907620829,612120.5358716607,611815.7623761292,610864.648762907,609271.6618793336,606952.8788279955,605225.7525401098,604515.4640624438,603459.7973277142,601459.1111083208,597351.0870572733,592489.5954651585
92335,CA,San Bernardino County,Fontana,245772.0024701888,245868.15812029407,245505.91734557683,246378.78684394257,248493.17339795895,250966.45819777015,253477.44756502355,254570.23492943417,254974.97703169464,253624.1970012181,252045.39981337177,249879.14734542603,250494.24856652168,254307.68103995136,260625.2787946926,266966.6005137304,272227.80851801013,277011.8076083501,280898.9222626153,284513.6463816443,283804.5209655781,279348.98221660283,271987.3446212452,267353.97149162606,269337.4708696141,277148.1689041888,288305.8657091568,297577.51423304685,303711.48561290844,307566.5179065429,309776.9206689987,312330.9286966433,316405.714004259,322460.68225433445,328816.64674274373,335058.52948385576,338955.91093773086,340422.26328444335,339356.29343357036,337912.0569984115,338042.1500067995,339213.27681045834,341147.39468048315,343542.87198185496,346795.3387804543,351649.77505252423,356300.7010208911,360137.5132401863,361331.90057333285,361279.62383109954,360208.69098497304,359324.30242088326,358036.7325188592,357008.12391745736,356713.8443727077,357388.7575939359,359271.00646956055,362591.1735234266,367386.80073126854,372469.0239832701,375653.3715951463,376781.22750809253,376565.8430769788,376874.1228171522,377283.6364675557,377319.63100244344,377195.5297939777,378510.3908326532,382638.14423497807,389742.8898555743,398631.1160060573,408163.40889885696,415435.2927702919,421381.6481788822,425984.3736131317,431737.2830964504,438484.14534318214,445922.39335724944,452323.3301756424,456590.5913051567,459590.6813856687,463592.2488813077,469416.8318324501,476321.4551669901,484355.73307576193,492831.9269580592,502002.2843050032,510877.3289105117,518734.56659445586,524624.5658619036,527178.3849125626,526854.420829176,525590.1061564916,525903.184313624,527034.7877897804,527748.0667676805,524732.7244941894,520183.3078807834,515759.59195508267,514597.7346846503,516290.19486760366,519552.322034724,523648.29586564814,529369.1702611296,535828.6349883054,543226.7854598867,549815.6903794472,555801.0656976529,558993.0476583125,559501.0634896704,559469.0836759674,560912.3890999741,564275.5605542805,567413.7563725086,570512.2367463427,572670.4141414018,575254.9910069368,577259.8671469432,579810.2005236441,581855.9763219444,581594.5762216354,579440.2265723427,575452.7236161745,572837.5287351152
90201,CA,Los Angeles County,Bell,324050.5247029332,325315.2391143605,324895.47238237056,325650.6599056623,327021.3579640588,329476.0729557896,331353.08225397015,332079.6090093465,331612.1902681738,330106.6557259232,327579.1747190426,324949.6913610576,326006.5993099432,331888.2081156059,339967.68267350504,346867.8948490901,351729.22786327143,356255.2426852753,356985.39804395864,354804.98147302744,350207.54192535364,347006.74758649437,345781.8378001891,346614.08284111175,353361.17525195907,364543.7912369156,377664.53898309456,387759.0300176392,394161.0335049776,398597.02803235064,398395.27598289034,396239.9962629027,393047.6814848324,393197.4924146752,395053.3254597187,398052.7471392575,402474.7399506373,408208.1785253626,414814.08460632927,421007.19864036,426745.1502337043,431266.58048159693,436907.1029152077,444113.3676841064,452892.1506309051,460397.93696231674,465643.6025326229,468655.51561905496,467892.4957179904,464264.34047719726,459119.2097068932,455529.23652404826,453508.05816499464,452802.19090222893,454862.51541782264,459165.5945076593,465887.3438981721,472842.2040590211,479937.79358884256,486228.4652034721,489572.1426728905,490959.0480884016,491707.179660303,492873.88190026017,492353.8071751811,489996.8017388183,489883.40725069743,494760.4923674786,504136.79814712703,515377.517561183,527055.3203520278,537792.6539350637,543384.894731359,545863.2584804428,546572.9864113432,550643.3807903095,556287.5949858825,563120.2478349474,570666.7718914533,576457.4312725854,581341.9449702555,586194.5561188603,592423.4511074839,598883.3039866835,605890.0480457357,613800.7336114099,622174.7603292587,628266.2935287905,632919.4919291245,636896.9912958841,641245.3867570165,644168.2287600256,645610.1676294372,645973.2586657115,646524.2767343973,646519.7084591287,642313.8590571963,634133.183206393,627424.3859840069,626761.1917512183,631829.4470859342,639116.1564283301,648441.5357939882,659458.5451662844,670325.6375348688,679768.3670227189,687754.2280420293,693751.2554889907,693512.6425398979,689598.4395803422,685660.9003377968,685766.0208045803,687073.7842396625,687456.8354176003,689650.2776013128,694148.4639347492,700866.8862887177,706340.3437265805,709650.9646757204,711576.3278895534,709547.5437099045,705661.1380377946,698921.1953958786,693890.4782390633
90250,CA,Los Angeles County,Hawthorne,474351.9294928028,474479.11477166135,471974.4075345301,470084.0655736924,469785.9385626168,471418.7115895696,472746.1833905949,472927.998509001,471803.15291499696,470376.43357958266,467857.69502198015,465642.0034112586,469065.0310671089,478946.9143582469,492060.12159590406,502436.4577714514,509707.2181846151,515444.58463536034,515264.8340123394,510672.7479727582,503089.3671611421,499223.10128807137,499062.7152645259,501450.5787946277,511324.17452332954,525623.5924686547,542546.8551829188,555200.2666767548,564273.9657825638,572547.3958843179,574411.4231755302,572942.2601770485,567957.3211687161,567093.0368185866,567941.9603548832,570961.6194339207,579017.9567417895,591910.2418376445,608110.2705640624,622981.5769219879,635538.875866166,644359.5621363755,652358.5825897553,661571.7936700325,673153.3301099231,685581.3643468727,695898.9582386556,702302.8806065391,700761.379039934,692898.4259894477,683285.758237284,676324.7270905374,672960.1649227153,671146.3995609479,673195.886386572,679171.6997890598,688296.8950431028,696899.695024148,704378.2201141855,711533.3282201489,715427.1182699766,717560.1782562024,718351.0610405841,719294.459773202,717312.7476519692,712622.9133215308,712583.7095831338,719832.9326543593,734519.3994375137,749964.0782373982,765673.1242260017,780275.7290701192,788238.1376521345,791648.86926055,791765.9989769397,796464.9820694717,805267.0121331775,816070.2754554767,829148.716119998,839613.6065854342,848546.1864771392,855960.8953879402,863433.2524007331,871513.0932539781,879043.6084950982,887245.3006430548,896521.8785486523,905664.73658181,913734.88470989,918434.7280183616,920340.3856485176,916935.0524686284,910810.6524480884,903622.4156731424,899286.148956234,895180.6925268271,885487.0266868261,871701.0615452402,859861.4178363428,855002.759560133,856601.7935186923,861781.2963390668,871474.192166831,883552.1078786282,894384.5455537946,901893.741957793,906676.5866619692,909709.0423415924,906582.6316498754,899138.8901086048,891211.3064378124,889736.8962722798,892133.1030799691,894386.4754906561,898292.0063691805,902941.188060722,909254.7048711992,914880.7035700912,921016.9055067992,926806.9992643208,925931.4175543976,920331.0979798696,910341.3701145152,901685.1752508295
90805,CA,Los Angeles County,Long Beach,333803.2799419964,335331.42498602363,335432.8166270956,335842.8883612435,336698.03667480504,338414.1922712456,339927.9578161962,340233.6939549863,339655.9084113722,338277.0734723889,336180.0700280587,333463.25425381266,335394.8493672431,342592.87141469883,352902.7775246043,361158.3680955774,366771.2607060385,371502.2188919815,371656.5351015182,368486.5667222144,362579.4342876211,358802.4095345828,357123.31691402657,357505.47076152125,363895.74596630497,375015.7894997141,388314.0762229694,398350.6999598967,405246.5841307558,410850.8324001616,411665.40132372425,409852.0834950763,406541.08154837455,407045.59597859887,409546.0348948564,413147.11904439906,418644.9306345194,425728.8791778083,433793.140446451,441017.95745208097,447337.1800210848,452647.073826035,458018.1977612937,464922.7526950462,472955.8552674589,481600.7071725952,488584.9513859729,493569.1983438427,493136.00859462685,489012.5574136003,483321.1007216131,479136.8727383187,476357.721382559,474147.672862706,475079.3709734314,479198.3230921454,486754.9618643513,494719.96099538746,502612.6324114255,509514.336343408,512590.95826878207,512453.99731305125,511081.4089139769,510931.047057292,510306.03564650705,508736.8833618992,510151.0732460176,515917.3136415834,525994.9572862153,537693.2833671233,550305.3575989668,562534.171837299,570064.7197751274,574782.5164930667,576928.110416641,581145.0428946422,586593.1228257169,593247.7359945619,601789.2017864058,609475.8153847705,616963.1361220486,623553.6867641531,630539.5691129485,637456.7707270818,643856.2481479605,650367.8887234296,657166.7815470077,663507.4032819336,668302.853656706,671267.9622501192,673660.5280345484,673963.6358742242,672666.2599347302,670274.1739991027,669306.2845070466,668667.2096380148,663682.1592206996,655580.0730029168,648090.2047385847,645597.4230454749,647661.2558554445,652057.034467308,660246.5703480655,670789.7636432354,681702.98755567,690671.4424251199,698104.5202412225,703790.8311828614,704671.4141510729,701825.5772590846,698520.1869076871,698235.375603055,700397.8837884739,702673.4358743866,706958.6676740581,712769.1837084313,719097.0468462728,724042.3788514325,727835.9430047226,731261.4344639005,730601.4721889566,726143.6151863219,718320.3288452876,710461.4024966412
