ZIP Code,2018,2019,2020,2021,2022,2023,Pct Change 2018-21
90001,484901.28571428574,504140.85714285716,547563.8571428572,708151.8333333334,772361.6666666666,851829.0,0.46040411563394296
90002,569980.5,603840.8333333334,660567.1666666666,721661.3333333334,795190.3333333334,868758.0,0.2661158291087737
90003,643022.4285714285,685420.1428571428,768382.4285714285,838832.2857142857,918486.2857142857,1007526.2857142857,0.3045148169681707
90004,1405309.0,1520989.5,1786722.3333333333,1887915.0,2078024.5,2265968.6666666665,0.34341628780574235
90005,471939.0,536307.6666666666,616614.0,652763.1666666666,737604.5,822084.5,0.38315156549186785
90006,383786.0,353809.5714285714,397939.0,517692.6666666667,581574.1666666666,622582.3333333334,0.34890972225841144
90007,373659.3333333333,411424.6666666667,483841.1666666667,522586.6666666667,577960.8333333334,627974.3333333334,0.39856446781292776
90008,823362.5714285715,903396.4285714285,1016002.2857142857,1259945.6666666667,1360762.8333333333,1504459.8333333333,0.5302440387599885
90009,170.0,172.0,225.0,258.0,230.0,163.0,0.5176470588235295
90010,75680.83333333333,80651.66666666667,129435.8,104057.0,149592.6,163788.2,0.37494521950736104
90011,920528.5,831492.7142857143,917568.8571428572,1174879.6666666667,1299812.8333333333,1432676.5,0.27630993137818843
90012,313207.5,342603.1666666667,384809.1666666667,415958.3333333333,459819.5,501476.1666666667,0.3280599389648502
90013,167062.2,183934.8,212457.0,246458.2,273247.2,292107.2,0.47524814111151414
90014,106573.6,131178.2,156019.6,161502.8,169687.0,206186.5,0.5154109460504288
90015,337003.5,399453.1666666667,474130.6666666667,499377.0,542478.5,547527.3333333334,0.4818154707592058
90016,998728.3333333334,1075235.6666666667,1211036.5,1306320.6666666667,1456009.3333333333,1641765.5,0.3079839863025815
90017,185340.66666666666,202780.33333333334,227937.5,261181.0,305700.5,335344.1666666667,0.4091942405156631
90018,859925.6666666666,914805.3333333334,1028029.0,1120159.1666666667,1233864.6666666667,1369202.8333333333,0.3026232499940888
90019,1286212.7142857143,1387731.0,1579480.4285714286,1698651.0,1876623.7142857143,2080599.857142857,0.3206610237431289
90020,660993.3333333334,724893.1666666666,860610.5,747966.5714285715,832140.2857142857,1037248.0,0.13157959953489914
90021,28925.5,31755.166666666668,38664.833333333336,45903.0,52942.5,53988.166666666664,0.5869388601752779
90022,593576.4285714285,626570.4285714285,687585.7142857143,761275.8571428572,858910.7142857143,956870.7142857143,0.2825237332537513
90023,398091.8333333333,419504.0,463697.3333333333,511265.0,567684.3333333334,626884.3333333334,0.28428909409930964
90024,2330426.8333333335,2439458.8333333335,2828570.5,2819268.1666666665,3039596.1666666665,3205529.0,0.20976472049719633
90025,1143640.1666666667,1237595.8333333333,1372996.1666666667,1471689.1666666667,1633828.8333333333,1819635.0,0.2868463434229968
90026,1185588.7142857143,1486554.5,1732605.6666666667,1881526.8333333333,2050734.6666666667,2252793.3333333335,0.5869979282544902
90027,1466802.5714285714,1599162.857142857,1848693.7142857143,1959481.2857142857,2115254.285714286,2303322.4285714286,0.3358861811960671
90028,315966.6666666667,350392.5,407085.8333333333,450895.8333333333,505171.6666666667,540808.8333333334,0.4270360797552483
90029,339797.5,360201.1666666667,419150.3333333333,457888.6666666667,507169.1666666667,561276.3333333334,0.3475339479150573
90030,242.0,,,124.0,129.0,5.0,-0.48760330578512395
90031,466842.71428571426,503423.5714285714,572402.0,741435.3333333334,819488.5,905368.0,0.5881908630999103
90032,808719.8333333334,873095.3333333334,976827.1666666666,1059061.5,1161206.6666666667,1274875.1666666667,0.3095530199065642
90033,311081.85714285716,331986.0,371421.5714285714,405039.5714285714,523288.1666666667,572027.0,0.30203533934338817
90034,965012.0,1045676.1428571428,1193795.4285714286,1276883.5714285714,1394850.4285714286,1548832.142857143,0.32317895676796904
90035,1171227.8333333333,1267452.0,1474351.5,1545923.6666666667,1685377.3333333333,1867714.3333333333,0.319917118317572
90036,1406989.1666666667,1516027.8333333333,1479223.7142857143,1813685.6666666667,1923026.0,2052276.1666666667,0.2890544644089299
90037,582197.4285714285,713792.0,786114.8333333334,861890.3333333334,945877.6666666666,1059905.3333333333,0.4804090348667521
90038,308184.1666666667,330927.8333333333,391123.1666666667,443951.5,494333.1666666667,537301.1666666666,0.44053961240708334
90039,1163363.6666666667,1264890.5,1471916.5,1596557.5,1727444.6666666667,1900888.1666666667,0.3723632134520274
90040,164184.5,175307.33333333334,193352.83333333334,207970.16666666666,230688.0,260119.66666666666,0.2666857508879745
90041,750475.4285714285,815157.1428571428,925490.2857142857,1011713.7142857143,1117913.2857142857,1248263.2857142857,0.3480970539056386
