,ZIP Code,growth_pol_23_24,policies_24,growth_pol_22_23,policies_23,growth_pol_21_22,policies_22,growth_pol_20_21,policies_21,policies_20,growth_exp_23_24,exposure_24,growth_exp_22_23,exposure_23,growth_exp_21_22,exposure_22,growth_exp_20_21,exposure_21,exposure_20
46,94720,0.0,1,0.0,0,0.0,0,0.0,0,0,0.0,5000,0.0,0,0.0,0,0.0,0,0
47,95364,0.206,152,0.068,126,0.229,118,0.011,96,95,0.264,96688068,0.146,76468361,0.405,66700737,0.147,47482818,41411076
48,96120,0.105,179,0.182,162,0.191,137,0.162,115,99,0.17,156887739,0.367,134049585,0.311,98082244,0.277,74809011,58586513
49,95601,0.0,40,0.0,0,0.0,0,0.0,0,0,0.0,37050728,0.0,0,0.0,0,0.0,0,0
50,95629,0.174,209,0.148,178,0.054,155,0.47,147,100,0.275,171262218,0.229,134312949,0.138,109278296,0.542,95994806,62249600
51,95640,1.468,269,0.787,109,0.649,61,0.762,37,21,1.191,162158071,0.793,74010495,0.78,41282018,0.825,23192984,12710973
52,95642,0.343,540,0.451,402,0.435,277,0.65,193,117,0.35,458905854,0.539,339948909,0.581,220942622,0.58,139735274,88460199
53,95665,0.064,1041,0.109,978,0.056,882,0.168,835,715,0.148,793606480,0.158,691143847,0.123,596860204,0.227,531547529,433156496
54,95666,0.035,2041,0.11,1972,0.067,1777,0.173,1665,1419,0.109,1517228410,0.203,1368073956,0.139,1137511407,0.273,998362788,784210968
55,95669,0.318,282,0.497,214,0.163,143,0.398,123,88,0.442,215038564,0.597,149086211,0.229,93327722,0.785,75934360,42533207
56,95685,0.196,536,0.224,448,0.2,366,0.22,305,250,0.223,453749309,0.312,370954016,0.317,282680149,0.369,214645754,156768596
57,95689,0.125,368,0.155,327,0.033,283,0.171,274,234,0.232,305193638,0.232,247723206,0.076,201050036,0.22,186886902,153234388
58,95699,0.0,19,0.0,0,0.0,0,0.0,0,0,0.0,15962803,0.0,0,0.0,0,0.0,0,0
