,County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Expiring,Pct Renewed,Pct NonRenewed,Pct NonRenewed Owner,Pct NonRenewed Company
0,Los Angeles,90001,2015,734,5092,415,178,5685,0.8956904133685136,0.10430958663148637,0.07299912049252419,0.031310466138962184
1,Los Angeles,90002,2015,807,5006,472,198,5676,0.8819591261451727,0.11804087385482734,0.08315715292459479,0.03488372093023256
2,Los Angeles,90003,2015,1033,6115,612,305,7032,0.8695961319681457,0.1304038680318544,0.08703071672354949,0.043373151308304894
3,Los Angeles,90004,2015,527,3875,400,128,4403,0.8800817624347036,0.11991823756529639,0.09084714967067908,0.029071087894617306
4,Los Angeles,90005,2015,130,859,113,42,1014,0.8471400394477318,0.15285996055226825,0.11143984220907298,0.04142011834319527
5,Los Angeles,90006,2015,314,1645,179,91,1915,0.8590078328981723,0.1409921671018277,0.09347258485639687,0.04751958224543081
6,Los Angeles,90007,2015,283,1682,153,93,1928,0.8724066390041494,0.1275933609958506,0.07935684647302904,0.04823651452282158
7,Los Angeles,90008,2015,528,4247,322,104,4673,0.9088380055638776,0.09116199443612241,0.06890648405735074,0.022255510378771666
9,Los Angeles,90010,2015,4,44,7,1,52,0.8461538461538461,0.15384615384615385,0.1346153846153846,0.019230769230769232
10,Los Angeles,90011,2015,1144,6837,600,326,7763,0.8807162179569754,0.1192837820430246,0.07728970758727297,0.041994074455751644
11,Los Angeles,90012,2015,72,637,60,14,711,0.8959212376933896,0.10407876230661041,0.08438818565400844,0.01969057665260197
12,Los Angeles,90013,2015,10,61,14,1,76,0.8026315789473685,0.19736842105263158,0.18421052631578946,0.013157894736842105
13,Los Angeles,90014,2015,4,43,6,1,50,0.86,0.14,0.12,0.02
14,Los Angeles,90015,2015,48,351,41,12,404,0.8688118811881188,0.1311881188118812,0.10148514851485149,0.0297029702970297
15,Los Angeles,90016,2015,807,5828,527,188,6543,0.8907229099801315,0.10927709001986856,0.0805440929237353,0.02873299709613327
16,Los Angeles,90017,2015,17,126,18,4,148,0.8513513513513513,0.14864864864864866,0.12162162162162163,0.02702702702702703
17,Los Angeles,90018,2015,753,5018,468,180,5666,0.8856336039534063,0.11436639604659371,0.08259795270031768,0.03176844334627603
18,Los Angeles,90019,2015,997,6567,688,238,7493,0.8764179901241158,0.12358200987588416,0.09181903109568931,0.03176297878019485
19,Los Angeles,90020,2015,82,672,61,30,763,0.8807339449541285,0.11926605504587157,0.0799475753604194,0.039318479685452164
20,Los Angeles,90021,2015,10,52,6,2,60,0.8666666666666667,0.13333333333333333,0.1,0.03333333333333333
21,Los Angeles,90022,2015,885,8038,525,237,8800,0.913409090909091,0.0865909090909091,0.05965909090909091,0.026931818181818182
22,Los Angeles,90023,2015,527,3945,297,151,4393,0.898019576599135,0.10198042340086501,0.0676075574778056,0.034372865923059416
23,Los Angeles,90024,2015,355,2760,251,95,3106,0.8886027044430135,0.11139729555698648,0.08081133290405666,0.030585962652929812
24,Los Angeles,90025,2015,302,2679,279,68,3026,0.8853271645736946,0.11467283542630535,0.0922009253139458,0.02247191011235955
25,Los Angeles,90026,2015,1018,7256,678,258,8192,0.8857421875,0.1142578125,0.082763671875,0.031494140625
26,Los Angeles,90027,2015,619,4718,456,141,5315,0.8876763875823142,0.11232361241768579,0.08579492003762935,0.026528692380056444
27,Los Angeles,90028,2015,138,553,84,26,663,0.8340874811463047,0.16591251885369532,0.12669683257918551,0.0392156862745098
28,Los Angeles,90029,2015,233,1862,159,57,2078,0.8960538979788258,0.1039461020211742,0.07651588065447545,0.02743022136669875
30,Los Angeles,90031,2015,503,4141,300,116,4557,0.9087118718455124,0.0912881281544876,0.06583278472679395,0.025455343427693657
31,Los Angeles,90032,2015,811,6585,523,179,7287,0.9036640592836558,0.09633594071634417,0.07177164814052422,0.024564292575819952
32,Los Angeles,90033,2015,421,2996,216,124,3336,0.8980815347721822,0.10191846522781775,0.06474820143884892,0.03717026378896882
33,Los Angeles,90034,2015,588,4630,499,109,5238,0.8839251622756777,0.11607483772432226,0.09526536846124475,0.020809469263077512
34,Los Angeles,90035,2015,484,3811,411,110,4332,0.8797322253000923,0.12026777469990767,0.09487534626038781,0.025392428439519853
35,Los Angeles,90036,2015,451,3125,331,119,3575,0.8741258741258742,0.1258741258741259,0.09258741258741258,0.03328671328671329
36,Los Angeles,90037,2015,728,4410,417,188,5015,0.8793619142572283,0.12063808574277168,0.0831505483549352,0.03748753738783649
37,Los Angeles,90038,2015,218,1248,143,53,1444,0.8642659279778393,0.13573407202216067,0.09903047091412742,0.036703601108033244
38,Los Angeles,90039,2015,702,6285,519,154,6958,0.9032768036792181,0.09672319632078183,0.07459039954009773,0.022132796780684104
39,Los Angeles,90040,2015,211,1781,141,47,1969,0.904520060944642,0.09547993905535805,0.07160995429151853,0.023869984763839513
40,Los Angeles,90041,2015,558,5339,430,106,5875,0.9087659574468085,0.0912340425531915,0.07319148936170213,0.018042553191489362
41,Los Angeles,90042,2015,1079,8504,743,218,9465,0.8984680401479134,0.10153195985208663,0.07849973586899102,0.023032223983095616
42,Los Angeles,90043,2015,1105,8441,636,329,9406,0.8974059111205613,0.10259408887943866,0.06761641505422071,0.03497767382521794
43,Los Angeles,90044,2015,1530,9657,834,492,10983,0.8792679595738869,0.12073204042611309,0.07593553673859602,0.04479650368751707
44,Los Angeles,90045,2015,828,8473,693,119,9285,0.9125471190091545,0.08745288099084544,0.07463651050080776,0.012816370490037695
45,Los Angeles,90046,2015,777,5044,639,188,5871,0.859138136603645,0.14086186339635495,0.10884006131834441,0.03202180207801056
46,Los Angeles,90047,2015,1325,9827,813,391,11031,0.8908530504940622,0.10914694950593781,0.07370138700027196,0.03544556250566585
47,Los Angeles,90048,2015,485,3169,399,110,3678,0.8616095704187058,0.1383904295812942,0.10848287112561175,0.029907558455682437
48,Los Angeles,90049,2015,768,6685,599,241,7525,0.8883720930232558,0.11162790697674418,0.07960132890365448,0.0320265780730897
52,Los Angeles,90056,2015,212,2153,141,54,2348,0.9169505962521295,0.08304940374787052,0.0600511073253833,0.022998296422487224
53,Los Angeles,90057,2015,67,363,38,25,426,0.852112676056338,0.14788732394366197,0.0892018779342723,0.05868544600938967
54,Los Angeles,90058,2015,23,100,12,10,122,0.819672131147541,0.18032786885245902,0.09836065573770492,0.08196721311475409
55,Los Angeles,90059,2015,689,4508,428,180,5116,0.8811571540265832,0.11884284597341674,0.0836591086786552,0.035183737294761534
