,ZIP Code,Voluntary Market Units,FAIR Plan Units,Total Ins Units,Pct Market,Pct FAIR
0,90001,6913,2104,9017,0.7666629699456582,0.2333370300543418
1,90002,6534,1330,7864,0.8308748728382502,0.16912512716174974
2,90003,8716,1934,10650,0.8184037558685446,0.1815962441314554
3,90004,4710,495,5205,0.9048991354466859,0.09510086455331412
4,90005,996,100,1096,0.9087591240875912,0.09124087591240876
5,90006,2402,836,3238,0.7418159357628166,0.25818406423718343
6,90007,2369,728,3097,0.7649338069099129,0.2350661930900872
7,90008,4774,244,5018,0.9513750498206457,0.04862495017935432
8,90010,69,1,70,0.9857142857142858,0.014285714285714285
9,90011,10249,3336,13585,0.7544350386455649,0.24556496135443504
10,90012,827,87,914,0.9048140043763676,0.09518599562363239
11,90013,98,0,98,1.0,0.0
12,90014,56,0,56,1.0,0.0
13,90015,433,108,541,0.800369685767098,0.19963031423290203
14,90016,7218,757,7975,0.9050783699059561,0.09492163009404389
15,90017,192,21,213,0.9014084507042254,0.09859154929577464
16,90018,6469,1236,7705,0.8395846852693056,0.16041531473069434
17,90019,8223,979,9202,0.8936100847641817,0.1063899152358183
18,90020,769,35,804,0.9564676616915423,0.043532338308457715
19,90021,67,9,76,0.881578947368421,0.11842105263157894
20,90022,9614,1315,10929,0.879677921127276,0.12032207887272395
21,90023,4988,1313,6301,0.7916203777178226,0.20837962228217743
22,90024,3027,22,3049,0.9927845195145949,0.007215480485405051
23,90025,2833,53,2886,0.9816354816354816,0.018364518364518363
24,90026,9124,1114,10238,0.8911896854854464,0.10881031451455363
25,90027,5380,291,5671,0.9486862987127491,0.05131370128725093
26,90028,748,59,807,0.9268897149938042,0.07311028500619579
27,90029,2423,367,2790,0.8684587813620072,0.13154121863799284
28,90031,5094,875,5969,0.8534092812866477,0.14659071871335233
29,90032,7497,662,8159,0.9188626057114843,0.08113739428851575
30,90033,4107,997,5104,0.8046630094043887,0.1953369905956113
31,90034,5072,109,5181,0.9789615904265586,0.02103840957344142
32,90035,4215,89,4304,0.97932156133829,0.020678438661710038
33,90036,3739,92,3831,0.9759853824066823,0.02401461759331767
34,90037,6424,2002,8426,0.762402088772846,0.23759791122715404
35,90038,1628,162,1790,0.9094972067039107,0.09050279329608939
36,90039,7249,375,7624,0.950813221406086,0.04918677859391395
37,90040,2070,178,2248,0.9208185053380783,0.0791814946619217
38,90041,5955,252,6207,0.9594006766553891,0.04059932334461092
39,90042,9881,897,10778,0.9167749118574875,0.08322508814251253
40,90043,9830,690,10520,0.9344106463878327,0.0655893536121673
41,90044,12618,2127,14745,0.8557477110885046,0.1442522889114954
42,90045,8968,28,8996,0.9968875055580257,0.0031124944419742106
43,90046,4814,1850,6664,0.7223889555822329,0.2776110444177671
44,90047,11524,941,12465,0.9245086241476134,0.07549137585238669
45,90048,3631,102,3733,0.9726761317974819,0.027323868202518083
46,90049,6654,887,7541,0.8823763426601247,0.11762365733987534
47,90056,2275,16,2291,0.9930161501527717,0.006983849847228284
48,90057,525,127,652,0.8052147239263804,0.19478527607361965
49,90058,147,58,205,0.7170731707317073,0.28292682926829266
50,90059,5742,798,6540,0.8779816513761468,0.12201834862385322
51,90061,3951,581,4532,0.8718005295675199,0.12819947043248014
52,90062,5401,1045,6446,0.8378839590443686,0.1621160409556314
53,90063,7355,1659,9014,0.8159529620590193,0.1840470379409807
54,90064,6257,47,6304,0.9925444162436549,0.0074555837563451775
55,90065,9252,835,10087,0.9172201843957569,0.08277981560424308
56,90066,10267,53,10320,0.9948643410852713,0.005135658914728682
57,90067,133,0,133,1.0,0.0
58,90068,4931,1116,6047,0.8154456755415909,0.18455432445840914
59,90069,2548,242,2790,0.9132616487455197,0.08673835125448029
61,90077,1680,1433,3113,0.5396723417924831,0.46032765820751687
62,90094,499,0,499,1.0,0.0
63,90201,11460,1116,12576,0.9112595419847328,0.08874045801526717
64,90210,4464,1803,6267,0.7123025370990905,0.28769746290090953
65,90211,1269,35,1304,0.973159509202454,0.026840490797546013
66,90212,1316,28,1344,0.9791666666666666,0.020833333333333332
67,90220,8811,701,9512,0.9263036164844407,0.0736963835155593
68,90221,7454,871,8325,0.8953753753753754,0.10462462462462463
69,90222,4816,611,5427,0.8874147779620416,0.11258522203795836
70,90230,5189,44,5233,0.9915918211351041,0.008408178864895853
71,90232,3336,42,3378,0.9875666074600356,0.012433392539964476
72,90240,5457,109,5566,0.9804168163851958,0.019583183614804166
73,90241,7201,124,7325,0.9830716723549489,0.016928327645051193
74,90242,7163,159,7322,0.9782846216880634,0.02171537831193663
75,90245,3359,4,3363,0.9988105857865002,0.0011894142134998512
76,90247,7575,224,7799,0.9712783690216694,0.028721630978330557
77,90248,2326,46,2372,0.9806070826306914,0.0193929173693086
78,90249,5396,77,5473,0.9859309336744017,0.014069066325598392
79,90250,12867,378,13245,0.9714609286523216,0.028539071347678368
80,90254,5181,16,5197,0.996921300750433,0.003078699249567058
81,90255,8518,1150,9668,0.8810508895324782,0.11894911046752173
82,90260,6475,148,6623,0.9776536312849162,0.0223463687150838
83,90262,8712,853,9565,0.9108207004704653,0.08917929952953477
84,90265,3757,1693,5450,0.6893577981651376,0.3106422018348624
85,90266,10842,34,10876,0.9968738506803972,0.003126149319602795
86,90270,3381,419,3800,0.8897368421052632,0.11026315789473684
87,90272,6613,578,7191,0.9196217494089834,0.08037825059101655
88,90274,8263,45,8308,0.9945835339431873,0.005416466056812711
89,90275,12158,61,12219,0.9950077747769867,0.00499222522301334
90,90277,6847,34,6881,0.995058857724168,0.004941142275832001
91,90278,8408,31,8439,0.9963265789785519,0.0036734210214480387
92,90280,14367,1201,15568,0.9228545734840699,0.07714542651593011
93,90290,561,1792,2353,0.2384190395240119,0.7615809604759881
94,90291,6821,149,6970,0.978622668579627,0.021377331420373027
95,90292,1415,12,1427,0.9915907498248073,0.008409250175192713
96,90293,1636,7,1643,0.995739500912964,0.00426049908703591
97,90301,4038,303,4341,0.9302004146510021,0.06979958534899793
98,90302,3370,247,3617,0.9317113630080177,0.0682886369919823
99,90303,4301,253,4554,0.9444444444444444,0.05555555555555555
100,90304,3408,331,3739,0.9114736560577694,0.08852634394223054
101,90305,3522,106,3628,0.9707828004410143,0.029217199558985666
102,90401,187,2,189,0.9894179894179894,0.010582010582010581
103,90402,3368,26,3394,0.9923394225103123,0.0076605774896876845
104,90403,1710,30,1740,0.9827586206896551,0.017241379310344827
