ZIP,Median_Income_2017,Median_Income_2018,Median_Income_2019,Median_Income_2020,Median_Income_2021,Median_Income_2022,Median_Income_2023
90604,66974,70877,74944,77898,88342,95570,101104
90605,66963,75575,78297,77482,83667,94200,100825
90606,66566,70640,74986,74717,82377,86596,94904
90620,84942,88082,91512,99351,104701,115501,122582
90621,58639,60799,67650,72000,76101,88735,94679
90623,91131,99576,107480,107956,105632,110028,112366
90630,90165,92073,93183,102263,109051,117610,124360
90631,76910,79500,83629,86973,93045,98009,102208
90638,86141,87429,95723,92508,97838,104114,110606
90640,50326,53615,56009,62521,66460,72163,74833
90650,63669,66453,70667,77425,83217,91259,98709
90660,61524,65617,67636,70620,78056,82539,86956
90670,66509,67500,71343,71318,76397,83259,87830
90680,53492,58402,59220,69212,71473,79303,83150
90701,62863,63792,67765,74523,83321,92702,97712
90703,98175,98934,105832,108844,115272,124240,133300
90704,63021,69828,73287,77868,77644,89107,91644
90706,52944,55729,60011,63848,70236,75379,77602
90710,57968,59817,63907,65119,68537,75114,77486
90712,83627,91242,96634,102687,108877,119143,119246
90713,94110,100132,102970,108311,112118,123809,129397
90715,69905,72616,76105,74471,79941,89113,94796
90716,38500,45150,50149,61525,66537,73784,76235
90717,61077,69150,71388,75286,85728,88111,92984
90720,97598,101484,106332,109847,118531,131660,134232
90723,49064,53031,55670,57313,60493,67130,70912
90731,49464,51161,53456,56881,61144,69019,71936
90732,89440,99519,104567,101738,105297,115120,118658
90740,65299,67970,68947,72226,75019,75007,82427
90742,77153,81667,82614,81528,91250,112600,119115
90743,137361,150208,116500,142000,154750,162391,166023
90744,43284,47776,50875,50965,55141,58869,61440
90745,73053,76551,80176,86981,93759,103471,106457
90746,81988,84523,89364,87713,96939,109596,113545
90755,75828,75461,75426,86140,79260,96521,102684
90802,51302,53358,54616,60939,62720,69613,72152
90803,83861,87870,90278,92230,98428,107889,111500
90804,47437,49860,52948,52122,55647,64160,68940
90805,47981,49370,50914,53299,57232,64848,68615
90806,50615,49962,54437,57037,60172,67632,73674
90807,75057,77488,78948,77966,81622,89319,95079
90808,102563,109918,110625,111163,118814,131535,131959
90810,56061,58095,60227,60486,67687,75152,82222
90813,34257,36075,38449,41175,44867,48535,50302
90814,64623,69867,73391,81925,84195,89776,98070
90815,84714,88710,94559,100034,102939,110565,116567
91001,91090,98289,101061,104577,114668,129030,133840
91006,99360,100730,103224,105011,113817,123358,127511
91007,79964,80166,83964,84833,87339,93128,101762
91008,112813,117955,96500,108846,167500,139167,137500
91010,68599,72381,74738,83051,88357,95172,98189
91011,160288,161450,175652,170571,187297,210532,221451
91016,71341,74076,77622,82801,88285,95606,99555
91020,69150,73839,67742,65506,59412,61771,60899
91024,98547,96630,100988,106719,116884,128056,141094
91030,92847,96692,104432,109927,115088,127882,128105
91040,77910,81940,86594,92280,98044,103823,104719
91042,53412,55507,64532,66453,73115,81324,81707
91101,64223,65592,70075,72144,79154,86631,94180
91103,69334,69059,71231,71600,73705,78513,84683
91104,72189,74011,77919,78285,85049,93856,103052
91105,112765,122917,131158,137637,143892,163253,156835
91106,77380,80291,82211,84782,84153,91220,89213
91107,92266,95630,102850,100866,111084,120822,124880
91108,152553,158884,165765,163654,170223,173312,186023
91201,56580,58004,60101,59073,59432,67102,74980
91202,66657,70841,75703,81665,82476,90232,92343
91203,51360,55783,61071,61384,66245,70650,77925
91204,44304,45245,49122,55847,63443,69102,72906
91205,38730,43769,44835,47160,48888,58290,59005
91206,57379,62915,70141,74893,82664,85651,86684
91207,81110,88365,85956,85107,103505,106984,108196
91208,105000,102950,108374,104866,107000,112485,131229
91214,94322,100625,104981,108583,116201,126175,131716
91301,117615,121614,124012,130315,142177,157582,166912
91302,122967,129145,133996,149724,146521,172651,167470
91303,51486,55130,61250,62848,66494,77437,76051
91304,64367,68282,70505,71039,74987,79673,82289
91306,64772,67869,69917,73894,77597,82380,88958
91307,111043,116803,120474,119452,125343,130877,136154
91311,82738,86156,91897,96432,101623,112172,117574
91316,68720,74611,76978,76088,79858,85354,90802
91320,116208,115102,118986,125093,130893,143873,150861
91321,66178,68831,73187,74986,74424,84503,93281
91324,68477,75949,80260,83894,88003,100086,99834
91325,65129,68642,71400,72041,73119,83853,92602
91326,105611,112865,117590,120563,130322,142170,148636
91331,57353,60360,63807,64375,72089,76942,82025
91335,55580,60413,63748,65740,68163,74632,77164
91340,54703,53564,57398,64479,67638,71664,79124
91342,68600,70106,74050,79572,84312,89264,95480
91343,61692,62791,66661,67043,71380,77790,81719
91344,86460,92286,96162,103329,104640,111897,116647
91345,74193,75969,77273,80759,85659,93622,96345
91350,103837,112664,117707,113028,122399,137626,135612
91351,76706,80397,81758,85755,90671,104214,112888
91352,52171,55177,57145,58696,65085,68132,74621
91354,120560,126753,128308,130557,136229,145442,148818
91355,92066,92707,95696,95640,104637,109752,109348
91356,71654,74561,76929,80872,90886,105513,110094
91360,93476,95852,100246,94149,99229,111095,116729
91361,116114,121331,119303,119659,122305,127304,131911
91362,108167,109934,117566,119967,127279,135998,143683
91364,100323,103278,106225,110525,116443,128306,134534
91367,84937,87699,96085,95212,98803,106355,109629
91377,129721,128622,132578,137047,143153,150898,160484
91381,121719,128310,135357,134115,144476,148873,146706
91384,106431,108102,112122,111990,119866,127416,129603
91387,87346,90433,98371,94545,100523,111090,114378
91390,108836,116298,120617,121902,133150,145465,143963
91401,51784,54058,53882,57493,65458,72476,75933
91402,41669,42857,45796,48933,51485,55130,56369
91403,89552,95944,104802,101021,104499,107970,114348
91405,41283,43548,47037,49232,54391,58365,61207
91406,51564,55542,59472,61880,64875,71819,76653
91411,50332,54555,58605,61914,67430,73669,77582
91423,82554,83732,90931,90783,97727,104205,112119
91436,159965,149423,174085,153304,157898,155346,174803
91501,64006,70326,67817,73622,78630,80198,85419
91502,41784,38147,47148,53580,52906,59711,61443
91504,73501,75825,83994,86295,89219,99318,103164
91505,82630,84651,87138,89021,94610,104361,106364
91506,72681,79148,81597,85086,83217,104009,107171
91601,50832,52607,53911,57411,61761,73735,77540
91602,78526,81917,84008,81795,83866,93210,97994
91604,99745,103470,111341,119586,124271,132494,141317
91605,43004,47000,50623,53335,56403,61031,64539
91606,44773,46397,50155,54649,57146,64976,66884
91607,60772,62139,71691,76092,80871,82995,84925
91701,89067,94591,100923,100653,105044,111745,113576
91702,59104,62514,68852,68058,74175,82382,87577
91706,57240,62161,65755,68773,72737,76348,79473
91708,89622,90612,85545,57198,98161,102150,104242
91709,102746,104590,106347,104661,109318,117603,122784
91710,75408,79592,81892,86702,89375,98099,104205
91711,97002,97593,101270,100598,112430,115079,121970
91722,70632,77459,80089,82441,86583,95157,98033
91723,63270,64583,64422,70428,73977,82018,87363
91724,82821,83598,82976,84679,90799,96720,102129
91730,68716,69034,72995,74943,76750,84850,89654
91731,36344,39383,42293,48723,52758,57047,60887
91732,48254,51899,51268,56098,58883,62047,67172
91733,42758,45519,50691,57500,59375,63883,67245
91737,102610,105406,106603,103679,105943,112857,116903
91739,103974,105221,112790,119397,126111,138079,141475
91740,76825,82447,85590,89655,92975,96433,98819
91741,99474,105874,110430,108750,113446,117252,127063
91744,63318,66278,71243,74100,80266,86290,92624
91745,81397,84224,85975,88702,94608,101427,106611
91746,64607,68254,70825,77740,79042,83634,84967
91748,64983,71000,74438,73948,77183,83610,83455
91750,83743,86352,89360,93166,96184,103774,104827
91752,70880,79181,85296,89255,98913,108779,113450
91754,58056,60261,63909,66218,71735,83490,81890
91755,49755,52624,58411,59285,66355,70459,74362
91759,51719,52250,71042,97109,101688,111071,118750
91761,68021,71727,74072,76207,79614,89041,97396
91762,53462,56881,60293,64383,69103,74245,76289
91763,54263,58094,62386,63529,67853,72997,77627
91764,51961,56168,61501,60941,65941,71336,75605
91765,95285,97968,100480,101161,99705,105712,104737
91766,54163,55785,59819,61018,67756,72692,77699
91767,54157,57521,62153,63283,70039,75870,80201
91768,50044,51149,56002,62136,64820,71462,76313
91770,51383,53506,59776,61394,65042,70863,73757
91773,81020,84355,86201,89669,100614,101466,105926
91775,81250,82598,86415,94024,99362,107359,113703
91776,52051,54131,58658,65563,70538,77147,79926
91780,67910,68456,75672,83029,88119,94946,101746
91784,110945,118916,130421,133287,138017,145496,157118
91786,54931,58649,61898,65542,71693,81973,86961
91789,95081,99398,101841,105848,116583,123555,125742
91790,74965,79926,82128,84505,93181,97868,100142
91791,80020,80890,84530,87147,89794,96470,100365
91792,70932,77333,82954,85040,88610,94439,96383
91801,53644,55832,60519,66804,73060,81580,85549
91803,61424,60394,63264,66169,72773,76694,84537
91901,90397,92287,88395,93214,105679,110013,116600
91902,92759,95330,102617,106769,112331,123516,121727
91906,49919,47227,50387,48100,49191,49344,58561
91910,59371,61922,65847,70283,77005,84111,87705
91911,52274,58598,61748,65074,70873,77705,79334
91913,87440,96617,103127,113415,114352,124531,129412
