ZIP,DATE,DISASTER
95417,2024,Earthquake
95418,2024,Earthquake
95420,2024,Earthquake
95427,2024,Earthquake
95428,2024,Earthquake
95432,2024,Earthquake
95445,2024,Earthquake
95449,2024,Earthquake
95454,2024,Earthquake
95456,2024,Earthquake
95459,2024,Earthquake
95460,2024,Earthquake
95463,2024,Earthquake
95466,2024,Earthquake
95481,2024,Earthquake
95482,2024,Earthquake
95488,2024,Earthquake
95490,2024,Earthquake
95494,2024,Earthquake
95585,2024,Earthquake
95587,2024,Earthquake
93001,2024,Fire
93002,2024,Fire
93003,2024,Fire
93004,2024,Fire
93005,2024,Fire
93006,2024,Fire
93007,2024,Fire
93009,2024,Fire
93010,2024,Fire
93011,2024,Fire
93012,2024,Fire
93015,2024,Fire
93016,2024,Fire
93020,2024,Fire
93021,2024,Fire
93023,2024,Fire
93024,2024,Fire
93030,2024,Fire
93031,2024,Fire
93032,2024,Fire
93033,2024,Fire
93034,2024,Fire
93035,2024,Fire
93036,2024,Fire
93040,2024,Fire
93064,2024,Fire
93066,2024,Fire
95201,2024,Flood
95202,2024,Flood
95203,2024,Flood
95204,2024,Flood
95205,2024,Flood
95206,2024,Flood
95207,2024,Flood
95208,2024,Flood
95209,2024,Flood
95210,2024,Flood
95211,2024,Flood
95212,2024,Flood
95213,2024,Flood
95215,2024,Flood
95219,2024,Flood
95220,2024,Flood
95227,2024,Flood
95230,2024,Flood
95234,2024,Flood
95236,2024,Flood
95237,2024,Flood
95240,2024,Flood
95241,2024,Flood
95242,2024,Flood
95253,2024,Flood
95258,2024,Flood
95267,2024,Flood
95269,2024,Flood
95296,2024,Flood
95297,2024,Flood
95304,2024,Flood
95320,2024,Flood
95330,2024,Flood
95336,2024,Flood
95337,2024,Flood
95366,2024,Flood
95376,2024,Flood
95377,2024,Flood
95378,2024,Flood
95385,2024,Flood
95391,2024,Flood
95686,2024,Flood
90630,2024,Fire
90680,2024,Fire
90743,2024,Fire
92602,2024,Fire
92603,2024,Fire
92604,2024,Fire
92606,2024,Fire
92612,2024,Fire
92614,2024,Fire
92616,2024,Fire
92617,2024,Fire
92618,2024,Fire
92619,2024,Fire
92620,2024,Fire
92623,2024,Fire
92676,2024,Fire
92683,2024,Fire
92684,2024,Fire
92685,2024,Fire
92697,2024,Fire
92709,2024,Fire
92710,2024,Fire
92780,2024,Fire
92781,2024,Fire
92782,2024,Fire
92801,2024,Fire
92802,2024,Fire
92803,2024,Fire
92804,2024,Fire
92805,2024,Fire
92806,2024,Fire
92807,2024,Fire
92808,2024,Fire
92809,2024,Fire
92811,2024,Fire
92812,2024,Fire
92814,2024,Fire
92815,2024,Fire
92816,2024,Fire
92817,2024,Fire
92821,2024,Fire
92822,2024,Fire
92823,2024,Fire
92825,2024,Fire
92831,2024,Fire
92832,2024,Fire
92833,2024,Fire
92834,2024,Fire
92835,2024,Fire
92836,2024,Fire
92837,2024,Fire
92838,2024,Fire
92850,2024,Fire
92856,2024,Fire
92857,2024,Fire
92859,2024,Fire
92862,2024,Fire
92863,2024,Fire
92864,2024,Fire
92865,2024,Fire
92866,2024,Fire
92867,2024,Fire
92868,2024,Fire
92869,2024,Fire
92870,2024,Fire
92871,2024,Fire
92899,2024,Fire
92201,2024,Fire
92202,2024,Fire
92203,2024,Fire
92220,2024,Fire
92223,2024,Fire
92225,2024,Fire
92226,2024,Fire
92230,2024,Fire
92236,2024,Fire
92254,2024,Fire
92274,2024,Fire
92320,2024,Fire
92501,2024,Fire
92502,2024,Fire
92503,2024,Fire
92504,2024,Fire
92505,2024,Fire
92506,2024,Fire
92507,2024,Fire
92508,2024,Fire
92509,2024,Fire
92513,2024,Fire
92514,2024,Fire
92515,2024,Fire
92516,2024,Fire
92517,2024,Fire
92519,2024,Fire
92521,2024,Fire
92522,2024,Fire
