,ZIP,Avg_Median_Income_2017_2023,Avg_Growth_Rate_2017_2023,Total_Growth_2017_2023
0,90001,48115.28571428572,0.09309031348264855,0.7036174985978687
1,90002,43639.71428571428,0.08841374121821553,0.6517058823529411
2,90003,44032.857142857145,0.08098980980079283,0.5926098206238917
3,90004,53401.0,0.050800137653771026,0.34507631867070265
4,90005,42199.0,0.084405157590907,0.6251809864144666
5,90006,40308.857142857145,0.06801976018178077,0.47519976324356317
6,90007,30258.85714285714,0.07789622768795072,0.5618552232336368
7,90008,48031.857142857145,0.09177986558778772,0.6872356103818127
8,90011,44151.42857142857,0.08064935144051417,0.5900248344370861
9,90012,51050.0,0.09756234223903985,0.7437993090290311
10,90013,23995.285714285714,0.06968238077190747,0.44019642230796213
11,90014,34607.142857142855,-0.005949928272373765,-0.10093303915574577
12,90015,48980.0,0.11583952715200457,0.9167045695745778
13,90016,53801.71428571428,0.08665009147025572,0.6358676886955321
14,90017,39298.0,0.10359680292736757,0.7919198268035478
15,90018,50381.42857142857,0.09317958253830105,0.7051230550869018
16,90019,59568.71428571428,0.05895793768589875,0.40899133626729295
17,90020,50050.28571428572,0.047449789006978,0.31657509373452497
18,90021,22649.428571428572,0.1724847041075852,1.5069962686567164
19,90022,53187.28571428572,0.08692837394416476,0.6433036146913461
20,90023,46904.28571428572,0.05888303119514108,0.40765692977004353
21,90024,67741.57142857143,0.05180764123928098,0.34629236931569557
22,90025,93718.57142857143,0.04916519587296623,0.32922134844307804
23,90026,69240.85714285714,0.07987465160935663,0.5795333259725443
24,90027,73821.0,0.07628103481731446,0.551693404634581
25,90028,49897.57142857143,0.06817968527074696,0.48230508136168515
26,90029,47441.0,0.08475874122417364,0.6263944995853287
27,90031,51478.71428571428,0.07157277039950209,0.5104556728103876
28,90032,62748.42857142857,0.09551291650551004,0.7218281612835128
29,90033,43642.0,0.10044233108083629,0.7675409525613105
30,90034,83205.28571428571,0.0784487225493984,0.5720429451595193
31,90035,95032.71428571429,0.060383259554482045,0.41142715547034964
32,90036,86922.71428571429,0.05643799756962629,0.3850078757118432
33,90037,41721.857142857145,0.10581293532418544,0.8172652601062973
34,90038,48949.42857142857,0.08960837743247224,0.6641258514433993
35,90039,94172.71428571429,0.04584437886778526,0.2971226380322874
36,90040,54534.857142857145,0.08571061608239426,0.6269129287598945
37,90041,92830.28571428571,0.07428626914525088,0.5267440273037542
38,90042,74026.14285714286,0.09259432788601735,0.697981869199223
39,90043,55773.0,0.07879942673279423,0.5664402563857266
40,90044,40744.42857142857,0.08100975576373806,0.5934382551583122
41,90045,110933.71428571429,0.06598458373052007,0.4665759576986471
42,90046,76734.28571428571,0.06201317462772915,0.4283830883467192
43,90047,57295.28571428572,0.08734794469219753,0.6494794481915819
44,90048,97685.71428571429,0.0356673429066403,0.22051384139772354
45,90049,140936.0,0.05787400119936754,0.3963721840044053
46,90056,100576.28571428571,0.0763191315947548,0.5070465903976883
47,90057,39975.857142857145,0.06286540840052744,0.4320451862016147
48,90058,27285.428571428572,0.14774600762226364,1.2331811263318113
49,90059,45969.42857142857,0.061949801478247114,0.4298993440097735
50,90061,47744.42857142857,0.08397694758370318,0.6191887087216505
51,90062,52647.28571428572,0.08075903858465885,0.590584237093308
52,90063,55466.28571428572,0.0861699808819197,0.6256431177897146
53,90064,108030.0,0.05920336070897484,0.4068486018612925
54,90065,75247.0,0.08074135296577355,0.5906686071397996
55,90066,89271.14285714286,0.0620316807532438,0.43315294712069036
56,90067,121987.71428571429,0.0179420065483518,0.09233265261645505
57,90068,90277.14285714286,0.035455110020362626,0.2297202543581808
58,90069,96937.0,0.04307679200981995,0.2812633820584933
59,90077,207478.7142857143,0.032817858791269326,0.19349075908662747
60,90094,155961.85714285713,0.028578790247711035,0.1736073394495413
61,90201,47425.42857142857,0.06259595937868571,0.4386551217783179
62,90210,158569.7142857143,0.042200575900551984,0.27148505329522077
63,90211,94179.71428571429,0.09272273952560754,0.6543654239377048
64,90212,98331.14285714286,0.024302888338887264,0.12817377125553225
65,90220,62732.57142857143,0.06260705047495167,0.4354611767319584
66,90221,55724.28571428572,0.06804776395639238,0.4821552773430708
67,90222,57490.71428571428,0.11095522177152667,0.877919398806454
68,90230,92063.71428571429,0.05204929960460252,0.34811085030665556
69,90232,99671.57142857143,0.07355379063275082,0.5256400904515282
70,90240,91095.57142857143,0.05053929000785196,0.34055784742318823
71,90241,74175.0,0.046953021006860135,0.3138021238827816
72,90242,73197.42857142857,0.049514815005081536,0.3338995545014583
73,90245,119372.28571428571,0.08240445574304928,0.6047535021841579
74,90247,60531.142857142855,0.0819976456253914,0.6028084035072488
75,90248,67605.28571428571,0.057457466954785236,0.39306338687971654
76,90249,68217.71428571429,0.08010747408894507,0.5736602179230598
77,90250,62094.28571428572,0.07253175206853792,0.5161381710747314
78,90254,141020.85714285713,0.03386757577250243,0.21762288844924668
79,90255,49936.0,0.07265942100442775,0.5220334779913205
80,90260,71392.14285714286,0.06704464774769625,0.4753027622805824
81,90262,57902.142857142855,0.07436490109874962,0.5362006231344096
82,90265,165158.85714285713,0.05643688408241537,0.387936544831193
83,90266,165234.0,0.045810331954205,0.30225186200041637
84,90270,49508.28571428572,0.08699365081764537,0.644422549463425
85,90272,200795.2857142857,0.01969441939264147,0.11064753926238657
86,90274,183826.42857142858,0.05840584634998777,0.40237985577014074
87,90275,148916.42857142858,0.0588992112918611,0.4086377669153589
88,90277,111244.14285714286,0.04541122252274878,0.29993499586337313
89,90278,127692.71428571429,0.05655337952816556,0.3854739747486992
