ZIP,Median_Income_ACSST5Y2017,Median_Income_ACSST5Y2018,Median_Income_ACSST5Y2019,Median_Income_ACSST5Y2020,Median_Income_ACSST5Y2021,Median_Income_ACSST5Y2022,Median_Income_ACSST5Y2023
93460,92618.0,92557,95585,98968,113017,144196,131932
93461,58214.0,56208,50272,61250,66650,72120,88774
93463,76850.0,81914,97347,98116,115112,122321,130123
93465,80894.0,84366,92051,99989,113017,128684,120843
93501,33768.0,32109,36250,41047,48447,47351,55372
93505,45196.0,48312,49014,47641,44733,55282,55010
93510,92727.0,102563,105714,101750,113056,123438,118462
93512,42639.0,45481,40735,42708,57917,62813,65158
93513,57500.0,57813,54758,56466,52500,61761,54485
93514,55208.0,57027,63849,64330,68963,71470,81695
93516,42188.0,46739,49318,51012,64306,71786,71250
93517,49034.0,60878,72067,70260,66736,95991,98882
93518,32750.0,36298,41563,46250,53914,56429,63095
93523,62937.0,63274,62760,63314,62768,64018,66583
93526,46591.0,41625,43077,54861,52500,56250,61563
93527,71904.0,72595,68421,73720,83255,82759,82667
93529,53482.0,-,-,100586,101250,108239,40703
93531,73889.0,135917,139167,93850,-,105481,104044
93532,57667.0,62932,64969,76250,80357,98788,99432
93534,37883.0,39906,41537,43247,46875,55945,58891
93535,42978.0,43929,46600,49304,51560,61183,65989
93536,72634.0,75380,79990,84674,89987,97418,102927
93543,41626.0,48542,51719,57003,61936,69727,69375
93544,50265.0,44156,43913,38523,73409,80560,87069
93545,41583.0,43859,46875,37083,35574,40385,49635
93546,63848.0,66500,62747,69702,78029,86216,96481
93549,44803.0,61875,59688,58558,61607,69464,73125
93550,39279.0,41675,45918,48002,54693,61394,63811
93551,87628.0,92500,93055,93637,98181,107133,110850
93552,60612.0,63261,65728,66289,73074,85890,84894
93553,58105.0,57833,51630,62875,59805,71587,73029
93554,26037.0,-,20865,20700,24537,-,-
93555,60000.0,64431,68794,70571,73166,81824,84141
93558,26029.0,-,-,-,-,-,-
93560,55526.0,56274,60743,63936,70119,76663,76204
93561,63042.0,63288,64246,65401,74949,82093,86149
93562,33333.0,34643,37176,35703,45682,60040,67643
93563,83875.0,82656,-,200625,210600,-,-
93591,44487.0,46258,47453,48911,53733,57826,60903
93601,56455.0,59278,67955,64634,66961,80625,76429
93602,65136.0,65231,63804,66060,65215,67617,74965
93604,81036.0,84186,86595,87159,102155,108750,181375
93606,30543.0,30855,-,-,72917,41429,40313
93608,34408.0,39844,38203,36361,36413,42222,40583
93609,44068.0,41569,45362,53084,57298,64000,68454
93610,41234.0,48694,54031,57689,62561,69383,66567
93611,84028.0,87379,92811,98228,104748,113672,114677
93612,40687.0,42664,44105,46892,51820,60721,64079
93614,60101.0,64722,71047,72446,76963,90838,87393
93615,34737.0,36311,43380,46886,53150,57191,61107
93616,31448.0,35066,36250,43281,47500,50625,56667
93618,41003.0,42665,44576,46804,50993,56950,63190
93619,115392.0,118010,120944,117146,121444,131268,138648
93620,40738.0,42484,45014,45257,49789,51135,49890
93621,53661.0,42353,-,-,-,-,149750
93622,42965.0,42399,39290,38391,38453,36788,46510
93623,105868.0,108092,108243,-,-,-,-
93624,33352.0,32167,32216,35000,40200,43421,39444
93625,53793.0,55588,54806,58690,63527,58125,64792
93626,83958.0,82500,86473,90703,105313,116719,149565
93627,44375.0,-,-,-,69583,81167,85347
93628,73750.0,-,35820,-,-,26838,-
93630,46610.0,46311,49360,62706,56705,54972,60388
93631,63884.0,65466,68502,72786,72252,74718,81226
93635,46967.0,52664,62526,63529,68770,75522,70666
93636,80179.0,80074,83977,99643,104201,119375,124024
93637,49937.0,52207,56462,61422,67333,71057,74621
93638,37682.0,41129,45811,49021,52399,58200,60031
93640,27771.0,29962,30752,35982,37779,40692,46042
93643,53889.0,60445,58819,59452,60982,65309,67612
93644,49034.0,52597,51745,55678,63438,73431,75241
93646,26434.0,26413,27761,27909,29904,34522,39632
93647,30987.0,36884,35000,41402,49067,49828,49275
93648,31653.0,33117,35210,38724,44632,50472,51834
93650,36106.0,33100,35440,38616,38643,42606,49877
93651,100952.0,108594,102824,90482,93310,94722,93036
93652,36750.0,37313,39259,38438,40481,43438,44957
93653,63125.0,70370,64219,83462,103194,114559,103750
93654,44151.0,46839,50903,52642,57452,63498,67471
93656,49530.0,50902,49259,51830,55856,66808,64481
93657,51209.0,53624,57600,60689,63994,71706,77655
93660,28500.0,32627,35339,39625,40000,53085,54318
93662,42027.0,42305,42308,43894,49504,54655,56735
93664,110833.0,102222,100938,106071,120357,132344,142292
93666,26932.0,-,28750,25990,27054,36111,39531
93667,64856.0,76719,75250,62446,49688,64199,68900
93668,38162.0,45074,50063,50063,66471,54963,61691
93669,36667.0,35833,-,-,41250,46250,78125
93673,37031.0,39643,44375,46406,52031,54583,56458
93675,70275.0,72000,73151,57321,61140,67262,80508
93701,17371.0,21820,23153,23356,25905,30211,32192
93702,25517.0,26580,27159,30473,32418,38965,44849
93703,27873.0,31209,33550,32170,35526,40678,43236
93704,55918.0,56769,60109,60362,63490,68349,69659
93705,35009.0,38105,40516,44509,46253,51012,55152
93706,30176.0,30433,32325,31854,34147,38269,40023
93710,47723.0,49882,51605,54004,55175,55015,62294
93711,71028.0,71825,73930,74979,81599,92138,97492
93720,80223.0,84614,89671,91096,94011,104428,103636
93721,25056.0,26885,28529,28101,24643,26019,32602
93722,54137.0,56028,59028,62225,69214,75491,77335
93723,71861.0,82708,82702,86833,94564,112306,116295
93725,41288.0,43469,47524,52477,57219,63571,71099
93726,34295.0,38435,40489,43651,47809,52921,51913
93727,50781.0,54491,57537,62413,65633,78036,82247
93728,34887.0,34667,36197,38091,45546,48197,52809
93730,118487.0,114171,121716,125804,130726,139754,143320
93901,58092.0,60060,64678,72434,78290,84669,91639
93905,45962.0,49659,51472,57081,63694,68795,75716
93906,61192.0,65203,67199,75373,80214,93626,96044
93907,73226.0,76360,82520,86380,88540,100295,103268
93908,127070.0,135606,129789,143750,158094,159688,164554
