"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/90023","","90023","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",479600,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90024","","90024","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1231000,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90025","","90025","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",905900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90026","","90026","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",962100,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90027","","90027","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1287200,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90028","","90028","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",723000,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90029","","90029","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",898400,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90031","","90031","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",616900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90032","","90032","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",605400,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90033","","90033","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",538900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
