ZIP Code,Nonrenewed Policies (by Company),% Market Units,New Policies,Total Res Units,% Change - Expiring Policies,Nonrenewed Policies (by Owner),Renewed Policies,% Change - Nonrenewed Policies (by Owner),% Nonrenewed Policies (by Company),% Change - Earned Premiums,Housing Units,% Change - Renewed Policies,Voluntary Market Units,% Change - Nonrenewed Policies (by Company),% Change Median Income,% Change - New Policies,Earned Premium ($),% Nonrenewed Policies (by Owner),% Change - Zillow Home Value,Avg % White-only Pop,Avg Median Income,Fire Disasters 5y,% Change White-only Pop,Fire Disasters 10y,Median Gross Rent ($),Claims (Fire and Smoke),% Change - Losses (Fire and Smoke),Losses (Fire and Smoke) ($),Median Owner Cost ($),All Disasters 10y,% Change - Claims (Fire and Smoke),Zillow Home Value 2018 ($),Zillow Mean Home Value ($),Zillow Home Value 2020 ($),Zillow Home Value 2019 ($),Median Home Value - Census ($),Zillow Home Value 2021 ($),All Disasters 5y,All Disasters 1y,All Disasters 3y,Fire Disasters 1y,Fire Disasters 3y
90013,5.0,1.0,45.0,98.0,0.4025974025974026,39.0,327.0,3.25,0.013477088948787,0.4752481411115141,9506.0,0.2394366197183097,98.0,0.5,0.4401964223079621,0.0625,4049561.0,0.105121293800539,-0.0377418664346149,45.85714285714285,23995.28571428572,2.0,-16.4,3.0,855.0,5.0,-0.82802,88035.0,1009.0,3.0,1.0,700044.4492,689051.630675,690033.3958,692505.2126,664800.0,673623.4651,2.0,0.0,2.0,0.0,2.0
90015,49.0,0.800369685767098,217.0,541.0,0.0,179.0,1379.0,0.0652173913043479,0.0304915992532669,0.4818154707592057,13494.0,-0.0173410404624277,433.0,0.25,0.9167045695745778,0.2166666666666665,10259786.0,0.1113876789047915,-0.0579693935920307,45.85714285714285,48980.0,2.0,-16.4,3.0,2094.0,18.0,0.9291139240506328,226724.0,1448.0,3.0,0.0,756488.4982,736084.33115,734350.8829,740862.6248,715000.0,712635.3187,2.0,0.0,2.0,0.0,2.0
90016,634.0,0.905078369905956,3333.0,7975.0,0.0444839857651244,2430.0,24413.0,0.1401709401709401,0.0230738435782654,0.3079839863025815,18787.0,0.0300200133422281,7218.0,0.2331288343558282,0.6358676886955321,0.1539440203562341,27547927.0,0.088437602358336,0.2832238359903587,45.85714285714285,53801.71428571428,2.0,-16.4,3.0,1436.0,80.0,-0.5073259336143532,3213968.0,599.0,3.0,-0.45,737348.7594,818218.6162,836701.8252,752640.3767,677500.0,946183.5035,2.0,0.0,2.0,0.0,2.0
90017,22.0,0.9014084507042254,107.0,213.0,0.0,67.0,493.0,-0.3478260869565217,0.0378006872852233,0.4091942405156632,14712.0,0.1355932203389831,192.0,-0.8888888888888888,0.7919198268035478,-0.0999999999999999,5263437.0,0.1151202749140893,-0.1558595919497233,45.85714285714285,39298.0,2.0,-16.4,3.0,1280.0,18.0,-0.2946176649166042,297261.0,1501.0,3.0,-0.8,843828.6791,783875.80655,774672.9874,804691.6742,697100.0,712309.8855,2.0,0.0,2.0,0.0,2.0
90018,693.0,0.8395846852693056,3082.0,7705.0,0.0348133198789102,2101.0,21282.0,0.1628865979381444,0.0287838511380628,0.3026232499940888,17654.0,0.0254124786648966,6469.0,-0.0319148936170212,0.7051230550869018,0.1918767507002801,23537515.0,0.0872653264661904,0.2739189876357206,45.85714285714285,50381.42857142857,2.0,-16.4,3.0,1356.0,93.0,-0.4224213036705886,8322286.0,629.0,3.0,-0.5,705775.8937,781535.1312249999,794854.9511,726408.3681,704300.0,899101.312,2.0,0.0,2.0,0.0,2.0
90019,795.0,0.8936100847641817,3923.0,9202.0,0.0406024885396201,2919.0,27316.0,0.2730061349693251,0.0256203673864002,0.3206610237431289,26015.0,0.0061746545133785,8223.0,0.4972375690607735,0.4089913362672929,0.2587968217934167,41664526.0,0.09407025459233,0.1814538408006158,45.85714285714285,59568.71428571428,2.0,-16.4,3.0,1574.0,89.0,0.1981896782653351,5525684.0,802.0,3.0,-0.75,1105470.571,1177757.286,1203076.179,1096419.942,1033900.0,1306062.452,2.0,0.0,2.0,0.0,2.0
90020,68.0,0.9564676616915424,350.0,804.0,0.0220779220779221,297.0,2746.0,0.4347826086956521,0.0218579234972677,0.1315795995348991,18786.0,-0.021897810218978,769.0,0.125,0.3165750937345249,0.1235955056179776,18714748.0,0.0954676952748312,0.0975852113347863,45.85714285714285,50050.28571428572,2.0,-16.4,3.0,1524.0,17.0,-0.6854433313130592,309661.0,813.0,3.0,-0.7551020408163266,692189.4094,710667.0900499999,711402.4513,679339.6403,650300.0,759736.8592,2.0,0.0,2.0,0.0,2.0
90022,985.0,0.879677921127276,3482.0,10929.0,0.0208495064877454,2227.0,33260.0,0.1001926782273603,0.0270070190831322,0.2825237332537513,18077.0,0.0095757575757575,9614.0,0.2298387096774192,0.6433036146913461,0.1462829736211031,18683059.0,0.0610605395920157,0.2448622321469795,45.85714285714285,53187.28571428572,2.0,-16.4,3.0,1208.0,119.0,0.298716095845668,4163273.0,465.0,3.0,-0.4,493558.4718,543700.426325,559806.5561,507024.3765,471000.0,614412.3009,2.0,0.0,2.0,0.0,2.0
90023,627.0,0.7916203777178226,2049.0,6301.0,0.0634850166481686,1266.0,16768.0,0.5060728744939271,0.0335994855581158,0.2842890940993097,12343.0,0.0198451113262343,4988.0,0.626984126984127,0.4076569297700435,0.2828947368421053,10755349.0,0.0678420234714109,0.2633148408723056,45.85714285714285,46904.28571428572,2.0,-16.4,3.0,1260.0,37.0,0.0200777984488631,1855132.0,540.0,3.0,-0.1538461538461538,468445.0952,520778.1597,541044.2449,481829.6578,479600.0,591793.6409,2.0,0.0,2.0,0.0,2.0
90024,242.0,0.9927845195145948,1235.0,3049.0,0.0113996200126662,1086.0,11319.0,0.2580645161290322,0.0191349727208033,0.2097647204971964,20205.0,-0.0175131348511383,3027.0,0.3999999999999999,0.3462923693156955,0.1795774647887325,62506346.0,0.0858701668379852,0.0794891804888242,45.85714285714285,67741.57142857143,2.0,-16.4,3.0,2441.0,58.0,-0.9063548366418086,1350155.0,1499.0,3.0,-0.7894736842105263,1312050.588,1332533.82675,1327285.289,1274455.016,1231000.0,1416344.414,2.0,0.0,2.0,0.0,2.0
90025,202.0,0.9816354816354816,1222.0,2886.0,0.0479945149125813,990.0,10779.0,0.3456221198156681,0.0168741124383927,0.2868463434229968,23418.0,0.0263752825923135,2833.0,-0.108695652173913,0.329221348443078,0.0764119601328903,31355528.0,0.0826998579901428,0.0698238971693958,45.85714285714285,93718.57142857143,2.0,-16.4,3.0,2271.0,66.0,3.78224314267705,2034242.0,1125.0,3.0,-0.3571428571428572,1063536.454,1080187.3554999998,1085244.337,1034171.917,905900.0,1137796.714,2.0,0.0,2.0,0.0,2.0
90026,688.0,0.8911896854854464,4099.0,10238.0,0.0453039981074048,3145.0,30659.0,0.3299418604651163,0.0199466542966485,0.5869979282544902,27813.0,0.0137813361333507,9124.0,0.346938775510204,0.5795333259725443,0.2992036405005689,38903243.0,0.0911805636089528,0.1567679532379373,45.85714285714285,69240.85714285714,2.0,-16.4,3.0,1497.0,74.0,0.1077650847113773,4103485.0,642.0,3.0,0.3611111111111109,1092290.57,1146549.36725,1162160.572,1068219.6,962100.0,1263526.727,2.0,0.0,2.0,0.0,2.0
90027,462.0,0.9486862987127492,2527.0,5671.0,0.0106912442396314,1957.0,19412.0,0.2522321428571428,0.0211625669918922,0.3358861811960671,23410.0,-0.0143737166324435,5380.0,0.1401869158878503,0.551693404634581,0.3057553956834533,48118983.0,0.0896431679721496,0.1915518432062268,45.85714285714285,73821.0,2.0,-16.4,3.0,1684.0,60.0,-0.0708995169725498,2546612.0,1049.0,3.0,-0.2105263157894737,1484003.423,1575833.0074999998,1599732.542,1451329.051,1287200.0,1768267.014,2.0,0.0,2.0,0.0,2.0
90028,94.0,0.9268897149938042,414.0,807.0,0.0086956521739129,308.0,2325.0,-0.0666666666666666,0.0344701136780344,0.4270360797552484,21466.0,0.0297202797202797,748.0,-0.1785714285714286,0.4823050813616851,0.0560747663551401,9146045.0,0.1129446277961129,0.0786767878564769,45.85714285714285,49897.57142857143,2.0,-16.4,3.0,1612.0,28.0,21.294559663360385,1245193.0,773.0,3.0,3.5,943154.4096,954314.276625,945254.6008,911489.3271,723000.0,1017358.769,2.0,0.0,2.0,0.0,2.0
