,ZIP,Avg_Median_Income_2018_2021,Avg_Growth_Rate_2018_2021,Total_Growth_2018_2021
0,90001,45674.5,0.11091916591091126,0.37083668648269774
1,90002,40274.75,0.09287684329232992,0.3035583168596442
2,90003,41944.25,0.0870374945260151,0.28224896577660774
3,90004,51537.75,0.04081741487582664,0.12702547483283422
4,90005,40237.75,0.08530134155889102,0.2777888417878176
5,90006,37731.5,0.05129632583666049,0.15975261924260822
6,90007,29096.0,0.09619465886807294,0.3169745500673908
7,90008,44970.0,0.07375981322441574,0.23735184303505652
8,90011,42409.0,0.08463720397341983,0.2752611354657141
9,90012,48121.25,0.08039805452897329,0.2602720283855707
10,90013,21864.5,0.010366722701163832,0.028372393430522235
11,90014,36064.75,-0.036712108284166683,-0.12619572189530637
12,90015,46177.75,0.10803419588704144,0.36000615132253433
13,90016,49753.0,0.04773089040186491,0.14950728363324764
14,90017,37126.25,0.12615378324762785,0.41956528657352893
15,90018,48167.75,0.09798634131621616,0.3233815361041946
16,90019,57235.75,0.05409589052179405,0.17085035629453682
17,90020,49198.0,0.0314670883120203,0.09695940134182006
18,90021,20943.25,0.20019553083766087,0.6743019341210641
19,90022,49516.0,0.09869101788525718,0.3250933911359129
20,90023,44641.0,0.05353035834601531,0.16909557470707853
21,90024,64981.75,0.022171384503831253,0.06501753388304427
22,90025,92294.75,0.06366085351118171,0.2008009084932162
23,90026,65990.0,0.05027937722594459,0.15810588622163763
24,90027,70261.25,0.06946825759674848,0.22257415237708883
25,90028,48141.0,0.06318771051433274,0.20037274421564616
26,90029,44346.5,0.08747549078890549,0.2846165512360346
27,90031,49304.25,0.06358581082843683,0.20242202827954806
28,90032,58424.5,0.08901773900478238,0.28970954519602266
29,90033,41798.5,0.11884688172308089,0.39906605153595137
30,90034,79068.0,0.07477949681928932,0.24118100848586857
31,90035,92452.0,0.08589910418580138,0.27706389720119695
32,90036,83430.0,0.027785635743234904,0.08481690905948296
33,90037,38088.25,0.10226018117441212,0.33293950850661624
34,90038,46745.5,0.08705514434682816,0.27791116446578634
35,90039,90974.75,0.05058050916285245,0.15337494624030873
