,ZIP Code,new_policies,renewed_policies,company_nonrenewed,owner_nonrenewed,nonrenewed_policies,expiring_policies,pct_nonrenewed_policies,pct_nonrenewed_owner,pct_nonrenewed_company,ratio_new_to_nonrenewed
97,90302,1259,12230,952,281,1233,13463,0.09158434227141053,0.02087201960929956,0.07071232266211097,1.0210867802108679
98,90303,1457,15271,1046,333,1379,16650,0.08282282282282283,0.02,0.06282282282282282,1.056562726613488
99,90304,1115,11832,805,193,998,12830,0.07778643803585347,0.01504286827747467,0.0627435697583788,1.1172344689378757
100,90305,1339,13191,995,318,1313,14504,0.09052675124103696,0.021924986210700496,0.06860176503033646,1.0198019801980198
101,90401,80,597,73,19,92,689,0.13352685050798258,0.027576197387518143,0.10595065312046444,0.8695652173913043
102,90402,1330,12903,1121,295,1416,14319,0.09888958726168029,0.02060199734618339,0.07828758991549689,0.9392655367231638
103,90403,670,6659,567,112,679,7338,0.0925320250749523,0.015263014445352958,0.07726901062959934,0.9867452135493373
104,90404,537,5760,463,114,577,6337,0.09105254852453842,0.01798958497711851,0.07306296354741991,0.9306759098786829
105,90405,1622,17234,1427,245,1672,18906,0.08843753305828837,0.012958849042631969,0.07547868401565641,0.9700956937799043
106,90501,2749,28066,2184,413,2597,30663,0.08469490917392297,0.013469001728467534,0.07122590744545544,1.0585290720061609
107,90502,1292,11729,1031,186,1217,12946,0.09400587053916268,0.014367372161285339,0.07963849837787734,1.0616269515201315
108,90503,2629,31562,2258,327,2585,34147,0.075702111459279,0.009576243886725042,0.06612586757255395,1.0170212765957447
109,90504,2438,29698,2095,370,2465,32163,0.07664086061623605,0.011503901999191617,0.06513695861704442,0.9890466531440162
110,90505,2900,32336,2541,371,2912,35248,0.082614616432138,0.01052541988197912,0.07208919655015887,0.9958791208791209
111,90601,2860,26659,2142,608,2750,29409,0.09350878982624367,0.020673943350674965,0.0728348464755687,1.04
112,90602,1898,15412,1340,356,1696,17108,0.09913490764554594,0.020808978255786766,0.07832592938975917,1.1191037735849056
113,90603,2007,21892,1689,293,1982,23874,0.0830191840495937,0.012272765351428332,0.07074641869816536,1.0126135216952574
114,90604,3454,32491,2697,546,3243,35734,0.09075390384507752,0.015279565679744781,0.07547433816533274,1.0650632130743138
115,90605,3357,32570,2588,687,3275,35845,0.09136560189705677,0.019165852978100154,0.07219974891895661,1.0250381679389313
116,90606,2652,25488,1991,583,2574,28062,0.09172546504169339,0.02077542584277671,0.07095003919891668,1.0303030303030303
117,90620,4494,41279,3599,775,4374,45653,0.09580969487218803,0.0169758832935404,0.07883381157864762,1.027434842249657
118,90621,2037,14248,1560,385,1945,16193,0.1201136293460137,0.023775705551781635,0.09633792379423207,1.0473007712082263
119,90623,1280,14233,1124,173,1297,15530,0.08351577591757887,0.011139729555698648,0.07237604636188023,0.9868928296067849
120,90630,4156,40645,3528,573,4101,44746,0.09165065033746034,0.012805613909623207,0.07884503642783712,1.013411363082175
121,90631,5991,50103,4693,1331,6024,56127,0.10732802394569459,0.0237140770039375,0.08361394694175708,0.9945219123505976
122,90638,4842,45794,3946,683,4629,50423,0.09180334371219483,0.013545405866370505,0.07825793784582433,1.0460142579390797
123,90640,3556,37050,2753,673,3426,40476,0.08464275126000594,0.016627137068880325,0.0680156141911256,1.0379451255107999
124,90650,7420,73058,5824,1407,7231,80289,0.090062150481386,0.017524193849717894,0.0725379566316681,1.026137463697967
125,90660,4480,46300,3286,915,4201,50501,0.08318647155501871,0.018118453099938616,0.0650680184550801,1.0664127588669365
126,90670,1317,11710,1035,229,1264,12974,0.09742562047171266,0.017650685987359332,0.07977493448435333,1.0419303797468353
127,90680,1905,12785,1392,347,1739,14524,0.11973285596254475,0.023891489947672817,0.09584136601487193,1.0954571592869464
128,90701,1303,12660,1070,241,1311,13971,0.0938372342709899,0.017250017894209435,0.07658721637678047,0.9938977879481312
129,90703,4483,50135,3806,579,4385,54520,0.08042920029347028,0.01061995597945708,0.06980924431401321,1.0223489167616875
130,90704,210,1759,125,109,234,1993,0.11741093828399397,0.05469141996989463,0.06271951831409935,0.8974358974358975
131,90706,4368,43911,3452,697,4149,48060,0.08632958801498128,0.014502704952143154,0.07182688306283812,1.0527838033261028
132,90710,2049,16590,1490,296,1786,18376,0.09719198955158903,0.01610796691336526,0.08108402263822377,1.1472564389697648
133,90712,3461,35542,2948,439,3387,38929,0.08700454673893498,0.011276940070384546,0.07572760666855044,1.0218482432831415
134,90713,3231,35327,2815,363,3178,38505,0.08253473574860408,0.00942734709777951,0.07310738865082457,1.0166771554436753
135,90715,1338,13392,1130,182,1312,14704,0.08922742110990206,0.012377584330794342,0.07684983677910773,1.0198170731707317
136,90716,708,6669,489,149,638,7307,0.08731353496647051,0.020391405501573832,0.06692212946489667,1.109717868338558
137,90717,1721,17059,1450,241,1691,18750,0.09018666666666666,0.012853333333333333,0.07733333333333334,1.0177409816676524
138,90720,2377,21801,1859,245,2104,23905,0.08801505961096005,0.010248901903367497,0.07776615770759256,1.1297528517110267
139,90723,2436,23777,1840,507,2347,26124,0.08984075945490737,0.019407441433164904,0.07043331802174246,1.037920749893481
140,90731,4230,38118,3426,611,4037,42155,0.09576562685327956,0.014494128810342783,0.08127149804293678,1.0478077780530097
141,90732,1786,17731,1464,219,1683,19414,0.08669001751313485,0.011280519212939115,0.07540949830019573,1.0612002376708258
142,90740,1735,18241,1485,194,1679,19920,0.08428714859437751,0.009738955823293172,0.07454819277108433,1.0333531864204883
143,90742,181,1183,156,28,184,1367,0.1346013167520117,0.020482809070958303,0.1141185076810534,0.9836956521739131
144,90743,84,679,69,17,86,765,0.11241830065359477,0.022222222222222223,0.09019607843137255,0.9767441860465116
145,90744,2529,25710,1829,456,2285,27995,0.08162171816395784,0.016288622968387213,0.06533309519557064,1.1067833698030634
146,90745,3887,39775,2953,583,3536,43311,0.08164207707049018,0.01346078363464247,0.06818129343584771,1.099264705882353
147,90746,2803,26226,2103,554,2657,28883,0.09199182910362497,0.019180833015960946,0.07281099608766402,1.0549491908167106
148,90755,812,6361,606,92,698,7059,0.09888086131180054,0.013033007508145629,0.08584785380365491,1.163323782234957
149,90802,1031,7990,959,116,1075,9065,0.11858797573083288,0.012796469939327083,0.10579150579150579,0.9590697674418605
150,90803,3056,29377,2659,342,3001,32378,0.09268639199456422,0.010562727778120947,0.08212366421644327,1.0183272242585806
151,90804,1914,16766,1541,269,1810,18576,0.09743755383290267,0.01448105081826012,0.08295650301464255,1.0574585635359115
152,90805,5902,54114,4351,1116,5467,59581,0.09175743945217435,0.018730803444050956,0.0730266360081234,1.0795683190049388
153,90806,2298,22469,1782,398,2180,24649,0.08844172177370278,0.016146699663272344,0.07229502211043044,1.0541284403669724
154,90807,2641,27392,2230,334,2564,29956,0.0855922018961143,0.011149686206436107,0.07444251568967819,1.03003120124805
155,90808,4567,50316,3956,512,4468,54784,0.08155665887850468,0.009345794392523364,0.07221086448598131,1.0221575649059982
156,90810,2355,23873,1706,441,2147,26020,0.08251345119139124,0.01694850115295926,0.06556495003843198,1.096879366557988
157,90813,1780,14768,1426,337,1763,16531,0.10664811566148448,0.020385941564333675,0.08626217409715081,1.0096426545660806
158,90814,1377,14129,1201,160,1361,15490,0.08786313750806972,0.010329244673983214,0.0775338928340865,1.011756061719324
159,90815,3872,41613,3359,459,3818,45431,0.08403953247782352,0.01010323347494002,0.0739362990028835,1.0141435306443165
160,91001,4543,40896,3282,1033,4315,45211,0.09544137488664263,0.022848421844241445,0.07259295304240118,1.0528389339513327
161,91006,3851,31888,3156,585,3741,35629,0.1049987369839176,0.016419209071262174,0.08857952791265541,1.029403902699813
162,91007,2645,22202,2198,360,2558,24760,0.10331179321486268,0.014539579967689823,0.08877221324717285,1.0340109460516027
163,91008,175,1096,90,52,142,1238,0.1147011308562197,0.0420032310177706,0.07269789983844911,1.232394366197183
164,91010,2094,19829,1569,406,1975,21804,0.09057971014492754,0.01862043661713447,0.07195927352779306,1.060253164556962
165,91011,2895,23603,2238,595,2833,26436,0.10716447268875776,0.02250718716901195,0.0846572855197458,1.0218849276385458
166,91016,3606,35182,2856,599,3455,38637,0.08942205657789166,0.015503274063721303,0.07391878251417036,1.0437047756874096
167,91020,468,4409,359,91,450,4859,0.09261164848734307,0.01872813336077382,0.07388351512656925,1.04
168,91024,1327,12399,1040,242,1282,13681,0.09370660039470799,0.017688765441122724,0.07601783495358526,1.0351014040561624
169,91030,1701,19728,1398,287,1685,21413,0.0786905151076449,0.013403072899640406,0.06528744220800449,1.0094955489614243
170,91040,3019,20930,2152,720,2872,23802,0.12066212923283758,0.030249558860599948,0.09041257037223763,1.051183844011142
171,91042,3304,22401,2396,708,3104,25505,0.12170162713193491,0.027759262889629484,0.09394236424230543,1.0644329896907216
172,91101,403,2914,279,50,329,3243,0.10144927536231885,0.015417823003391921,0.08603145235892692,1.2249240121580547
173,91103,2165,17663,1638,481,2119,19782,0.10711758163987463,0.024315033869173996,0.08280254777070063,1.0217083529966966
174,91104,3267,32906,2701,502,3203,36109,0.08870364729014928,0.013902351214378687,0.07480129607577059,1.0199812675616609
175,91105,1258,11527,1047,249,1296,12823,0.10106839273181002,0.01941823286282461,0.08165015986898541,0.970679012345679
176,91106,1397,13156,1117,200,1317,14473,0.09099702895045948,0.013818835072203413,0.07717819387825606,1.0607441154138193
177,91107,3673,34159,2917,611,3528,37687,0.09361318226444132,0.016212487064505003,0.07740069519993632,1.0410997732426304
178,91108,1890,16663,1573,329,1902,18565,0.10245084837058982,0.017721518987341773,0.08472932938324805,0.9936908517350158
179,91201,1637,13500,1290,289,1579,15079,0.10471516678824856,0.019165727170236752,0.0855494396180118,1.0367321089297024
180,91202,1615,12918,1239,284,1523,14441,0.10546361055328578,0.019666228100547054,0.08579738245273873,1.0604070912672356
181,91203,409,3822,333,68,401,4223,0.0949561922803694,0.01610229694529955,0.07885389533506985,1.0199501246882794
182,91204,362,3502,283,69,352,3854,0.09133367929423974,0.017903476907109497,0.07343020238713026,1.0284090909090908
183,91205,1108,11148,913,176,1089,12237,0.08899240009806325,0.014382610116858707,0.07460978998120454,1.017447199265381
184,91206,2100,15090,1439,584,2023,17113,0.11821422310524163,0.034126102962659964,0.08408812014258166,1.0380622837370241
185,91207,1156,9298,851,280,1131,10429,0.108447598043916,0.026848211717326684,0.08159938632658932,1.02210433244916
186,91208,2171,15504,1444,618,2062,17566,0.1173858590458841,0.03518160081976546,0.08220425822611864,1.0528612997090203
187,91210,2,31,3,0,3,34,0.08823529411764706,0.0,0.08823529411764706,0.6666666666666666
188,91214,3934,31723,2983,713,3696,35419,0.10435077218442079,0.020130438465230525,0.08422033371919027,1.0643939393939394
189,91301,3407,25053,2591,871,3462,28515,0.12140978432403998,0.030545327020866212,0.09086445730317377,0.9841132293471981
190,91302,4177,23501,2535,1615,4150,27651,0.15008498788470578,0.0584065675744096,0.09167842031029619,1.0065060240963855
191,91303,1352,8552,1014,224,1238,9790,0.12645556690500512,0.022880490296220635,0.10357507660878447,1.0920840064620356
192,91304,4913,32042,3770,756,4526,36568,0.123769415882739,0.020673813169984685,0.10309560271275432,1.085505965532479
193,91306,4332,31894,3409,647,4056,35950,0.11282336578581363,0.01799721835883171,0.09482614742698192,1.0680473372781065
194,91307,4262,28802,3242,748,3990,32792,0.12167601854110759,0.022810441571114906,0.09886557696999268,1.068170426065163
195,91311,4467,29821,3368,770,4138,33959,0.12185282252127566,0.022674401484142643,0.09917842103713301,1.0795070082165297
196,91316,3227,19472,2475,667,3142,22614,0.1389404793490758,0.029495003095427613,0.10944547625364819,1.0270528325907065
197,91320,5899,46486,4716,1139,5855,52341,0.11186259337804016,0.02176114327200474,0.09010145010603542,1.0075149444918872
198,91321,2656,18511,1893,715,2608,21119,0.12349069558217719,0.03385576968606468,0.08963492589611251,1.01840490797546
199,91324,2639,18964,2097,379,2476,21440,0.11548507462686568,0.01767723880597015,0.09780783582089553,1.065831987075929
200,91325,2947,21785,2272,416,2688,24473,0.1098353287296204,0.016998324684346013,0.09283700404527438,1.0963541666666667
201,91326,6001,36924,4196,1005,5201,42125,0.12346587537091988,0.023857566765578635,0.09960830860534124,1.1538165737358201
202,91331,5769,50447,4059,1337,5396,55843,0.0966280464874738,0.02394212345325287,0.07268592303422095,1.0691252779836917
203,91335,6359,44318,4766,1104,5870,50188,0.1169602295369411,0.021997290188889775,0.09496293934805132,1.083304940374787
204,91340,2384,20012,1662,548,2210,22222,0.0994509945099451,0.024660246602466025,0.07479074790747907,1.078733031674208
205,91342,8396,58120,5724,2087,7811,65931,0.11847234229725015,0.03165430525852785,0.0868180370387223,1.0748943797209065
206,91343,4534,33319,3522,737,4259,37578,0.11333759114375433,0.01961253925168982,0.09372505189206451,1.0645691476872505
207,91344,6950,50920,5416,1171,6587,57507,0.11454257742535691,0.020362738449232268,0.09417983897612464,1.0551085471383028
208,91345,1930,14914,1371,351,1722,16636,0.10351045924501082,0.021098821832171193,0.08241163741283962,1.1207897793263646
209,91350,6615,39105,4266,1393,5659,44764,0.12641855062103477,0.03111875614332946,0.0952997944777053,1.168934440713907
210,91351,3837,27366,2784,876,3660,31026,0.1179655772577838,0.02823438406497776,0.08973119319280604,1.048360655737705
211,91352,3396,26049,2446,794,3240,29289,0.11062173512240091,0.02710915360715627,0.08351258151524463,1.048148148148148
212,91354,4808,31551,3971,734,4705,36256,0.1297716240070609,0.020244924977934686,0.10952669902912622,1.0218916046758768
213,91355,3367,27594,2929,413,3342,30936,0.10802948021722265,0.01335014222911818,0.09467933798810448,1.0074805505685218
214,91356,3765,20588,2644,980,3624,24212,0.14967784569634893,0.040475797125392364,0.10920204857095656,1.038907284768212
215,91360,4565,41013,3750,787,4537,45550,0.09960482985729967,0.017277716794731064,0.08232711306256861,1.0061714789508487
216,91361,3063,20710,2327,691,3018,23728,0.12719150370869858,0.02912171274443695,0.09806979096426163,1.014910536779324
217,91362,4768,33549,3626,1112,4738,38287,0.1237495755739546,0.02904380076788466,0.09470577480606994,1.006331785563529
218,91364,5173,29382,3805,1216,5021,34403,0.14594657442664885,0.03534575473069209,0.11060081969595675,1.0302728540131447
219,91367,4758,31172,3900,775,4675,35847,0.13041537646107065,0.02161966133846626,0.1087957151226044,1.0177540106951872
220,91377,1769,12934,1305,440,1745,14679,0.11887730771850943,0.029974793923291776,0.08890251379521766,1.0137535816618912
221,91381,2546,15364,1884,561,2445,17809,0.13729013420180808,0.03150092649783817,0.1057892077039699,1.0413087934560328
222,91384,3379,21200,2316,1177,3493,24693,0.14145709310330862,0.047665330255538006,0.09379176284777062,0.9673632980246206
223,91387,4949,26316,3091,1277,4368,30684,0.14235432147047322,0.04161778125407378,0.10073654021639943,1.1330128205128205
224,91390,3044,18096,2046,978,3024,21120,0.1431818181818182,0.046306818181818185,0.096875,1.0066137566137565
225,91401,3108,21251,2511,510,3021,24272,0.12446440342781806,0.021011865524060647,0.10345253790375741,1.028798411122145
226,91402,2771,20844,2015,584,2599,23443,0.1108646504286994,0.02491148743761464,0.08595316299108476,1.0661792997306656
227,91403,2549,16071,1992,566,2558,18629,0.1373127918836223,0.03038273659348328,0.10693005529013903,0.9964816262705238
228,91405,2749,17282,2121,495,2616,19898,0.13147049954769324,0.024876872047441954,0.10659362750025128,1.0508409785932722
229,91406,4190,30778,3323,608,3931,34709,0.11325592785732808,0.01751707050044657,0.09573885735688151,1.065886542864411
230,91411,1270,9512,1017,196,1213,10725,0.1131002331002331,0.018275058275058275,0.09482517482517483,1.0469909315746084
231,91423,2778,19965,2190,572,2762,22727,0.12152945835350024,0.025168302019624236,0.096361156333876,1.005792903692976
232,91436,2767,17561,2017,700,2717,20278,0.1339875727389289,0.034520169641976524,0.09946740309695236,1.0184026499815972
233,91501,1298,10357,973,232,1205,11562,0.10422072305829441,0.02006573257221934,0.08415499048607507,1.0771784232365145
234,91502,190,1809,165,31,196,2005,0.09775561097256857,0.015461346633416459,0.08229426433915212,0.9693877551020408
235,91504,2183,18641,1643,412,2055,20696,0.0992945496714341,0.019907228449942017,0.07938732122149207,1.062287104622871
236,91505,2831,29778,2402,346,2748,32526,0.08448625714812766,0.01063764373116891,0.07384861341695874,1.0302037845705967
