ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90266,4242,42425,4314,10876,2000001.0,156654.5,79917999,59648,46739,0.0,10.81757070004636,4.2908238322912835,12.76695530610356,167199.02779248235,1339.8269682135194,0.09229979246453711,0.9077002075354629
90270,1063,11772,987,3800,481800.0,47377.75,5869066,15023,12759,2.125,13.00405268490375,3.3776315789473683,10.169330540179725,44752.379504670826,390.67203621114294,0.07735715965201034,0.9226428403479896
90272,3190,25881,3264,7191,2000001.0,199591.0,117553058,38730,29145,0.0,8.90655637254902,4.0426922542066475,10.020496916193617,163880.43367604562,3035.193854892848,0.11199176531137417,0.8880082346886259
90274,3442,31981,3408,8308,1757700.0,175000.5,75162413,41284,35389,0.0,10.394072769953052,4.263721714010592,10.043971302939134,145594.82938957194,1820.6184720472822,0.09630111051456668,0.9036988894854333
90275,4909,47105,4825,12219,1247000.0,144054.25,76151620,66203,51930,0.0,10.780103626943005,4.2568131598330465,8.656461020761276,104984.4880080661,1150.274458861381,0.09291353745426535,0.9070864625457347
90277,2688,27063,2552,6881,1143800.0,106296.0,41825846,60450,29615,0.0,11.657915360501567,4.323644819066996,10.760517799352751,98825.09819615778,691.9081224152192,0.08617254769542462,0.9138274523045754
90278,3345,34529,3321,8439,992600.0,123560.25,41360387,60690,37850,0.0,11.404396266184884,4.487972508591065,8.033327870411398,84660.44096942998,681.5025045312243,0.08774108322324967,0.9122589167767503
90280,4879,51597,4595,15568,470200.0,54341.0,29406466,65240,56192,0.0,12.290750816104461,3.6276978417266186,8.652766787508511,43125.609595395246,450.7428877988964,0.08177320615034168,0.9182267938496583
90290,1085,4552,955,2353,1184900.0,128175.25,22606370,12508,5507,2.125,5.90261780104712,2.395665108372291,9.244374401454259,100746.91866784958,1807.3528941477455,0.17341565280552024,0.8265843471944797
90291,3152,24905,3187,6970,1899800.0,99199.5,40475460,47144,28092,2.125,8.803577031691246,4.025394548063128,19.151306206180475,165129.8090196488,858.5495503139318,0.11344866866011676,0.8865513313398833
90292,723,5218,762,1427,1076900.0,120707.0,31440039,56119,5980,0.0,7.796587926509186,4.163279607568325,8.921603552403754,92033.91394265438,560.2387604910992,0.1274247491638796,0.8725752508361204
90293,775,6287,783,1643,899000.0,106359.25,16699291,24852,7070,0.0,9.019157088122606,4.298234936092514,8.452485326852154,77670.21968445873,671.9495815226139,0.11074964639321075,0.8892503536067893
90301,1412,13560,1202,4341,547900.0,49552.0,11279681,24149,14762,2.125,12.455906821963394,3.448974890578208,11.057071359380044,50680.90427496841,467.086877303408,0.08142528112721853,0.9185747188727814
90302,1259,12230,1233,3617,590000.0,54234.75,12386974,23741,13463,2.125,10.939983779399839,3.7293337019629527,10.878634086079497,54123.09198313297,521.7545175013689,0.09158434227141053,0.9084156577285895
90303,1457,15271,1379,4554,606100.0,58559.5,11997859,18986,16650,2.125,12.13052936910805,3.673254281949934,10.350156678250327,55211.433686596014,631.9318971874012,0.08282282282282283,0.9171771771771772
90304,1115,11832,998,3739,586600.0,47839.5,7826240,16408,12830,2.125,12.972945891783567,3.4626905589729873,12.261833840236624,54437.768881701755,476.977084349098,0.07778643803585347,0.9222135619641465
90305,1339,13191,1313,3628,646500.0,80841.25,15867434,19687,14504,2.125,11.066260472201066,4.004961411245866,7.997154917817327,57211.160940254216,805.9853710570427,0.09052675124103696,0.9094732487589631
90402,1330,12903,1416,3394,2000001.0,146775.75,57019539,20939,14319,0.0,10.051553672316384,4.193576900412492,13.626235941563916,168114.4791741893,2723.12617603515,0.09888958726168029,0.9011104127383197
90403,670,6659,679,1740,1523400.0,109892.5,24265616,38683,7338,0.0,10.793814432989691,4.212068965517242,13.862638487612895,131245.46847197865,627.2940568208256,0.0925320250749523,0.9074679749250477
90404,537,5760,577,1576,922900.0,75991.0,11743771,25682,6337,0.0,10.913344887348353,3.9955583756345177,12.144859259649168,82120.44845456076,457.2763414064325,0.09105254852453842,0.9089474514754615
90405,1622,17234,1672,4600,1430800.0,95870.5,31862487,43043,18906,0.0,11.277511961722489,4.099130434782609,14.924298924069447,124734.61201526674,740.2478219454964,0.08843753305828837,0.9115624669417116
90501,2749,28066,2597,7571,724900.0,74646.75,26138520,44240,30663,2.125,11.86561417019638,4.070136045436534,9.711072484736443,64604.83592887996,590.8345388788426,0.08469490917392297,0.915305090826077
90502,1292,11729,1217,3143,520700.0,79592.75,11121831,22106,12946,2.125,10.699260476581758,4.142857142857143,6.542053139262056,46142.210415233414,503.1136795440152,0.09400587053916268,0.9059941294608373
90503,2629,31562,2585,8097,861000.0,96498.75,34477451,56631,34147,2.125,13.226692456479691,4.222675064838829,8.922395367815644,75017.73938291411,608.8087973018312,0.075702111459279,0.924297888540721
90504,2438,29698,2465,7628,712300.0,91674.5,25660349,39580,32163,2.125,13.036916835699797,4.212899842684846,7.7698814828551015,62340.27907812531,648.316043456291,0.07664086061623605,0.9233591393837639
90505,2900,32336,2912,8337,916100.0,98186.75,36129378,50276,35248,2.125,12.100274725274724,4.2264603574427255,9.33017947941041,79698.10898121023,718.6207733312117,0.082614616432138,0.917385383567862
90601,2860,26659,2750,7198,626500.0,78368.25,28959670,37671,29409,2.125,10.734181818181819,4.1010002778549595,7.994308919747474,55594.13597399797,768.7523559236548,0.09350878982624367,0.9064912101737563
90602,1898,15412,1696,4370,601600.0,54133.25,14388871,22459,17108,2.125,10.206367924528301,3.9610983981693364,11.113317600550493,55196.692042752555,640.6728260385592,0.09913490764554594,0.9008650923544541
90603,2007,21892,1982,5696,649600.0,103807.25,21628016,27259,23874,2.125,12.058022199798184,4.195751404494382,6.25775174662656,56241.006807720194,793.4266113944019,0.0830191840495937,0.9169808159504063
90604,3454,32491,3243,8524,591400.0,78015.25,26485250,41871,35734,2.125,11.083872957138452,4.216916940403566,7.580569183589106,52500.47680379441,632.5440042033866,0.09075390384507752,0.9092460961549225
90605,3357,32570,3275,8654,556000.0,78755.25,27719932,40587,35845,2.125,10.970076335877863,4.151490640166397,7.059846803863869,49316.574191687716,682.9756325917166,0.09136560189705677,0.9086343981029432
90606,2652,25488,2574,6861,509600.0,75680.0,17765235,31181,28062,2.125,10.932400932400933,4.10144293834718,6.733615221987315,45361.20603474546,569.7455181039736,0.09172546504169339,0.9082745349583066
90620,4494,41279,4374,10846,622700.0,95911.5,34746655,53097,45653,0.0,10.464791952446273,4.220265535681357,6.492443554735355,54283.86063802216,654.3995894306646,0.09580969487218803,0.904190305127812
90621,2037,14248,1945,3882,643200.0,69137.5,17066074,31399,16193,0.0,8.372750642673521,4.195002575991757,9.303200144639305,57717.92087751948,543.5228510462117,0.1201136293460137,0.8798863706539863
90623,1280,14233,1297,3708,739200.0,105161.0,15183609,19106,15530,0.0,11.960678488820355,4.183656957928803,7.0292218598149505,63926.67644462256,794.7037056422066,0.08351577591757887,0.9164842240824211
90630,4156,40645,4101,10714,700100.0,99142.5,44316791,64772,44746,0.0,10.92440868080956,4.181538174351316,7.061552815391987,60855.434852576065,684.1967362440561,0.09165065033746034,0.9083493496625397
90631,5991,50103,6024,13273,628900.0,85786.75,58491355,78018,56127,0.0,9.31175298804781,4.226173434792436,7.330968943339152,55362.76817365488,749.7161552462252,0.10732802394569459,0.8926719760543054
90638,4842,45794,4629,11934,630100.0,93374.5,42191620,59951,50423,0.0,10.938863685461223,4.2430031841796545,6.748095036653476,55057.62253166035,703.7684108688762,0.09180334371219483,0.9081966562878052
90640,3556,37050,3426,10299,558600.0,59651.25,30822962,52917,40476,2.125,11.852305896088733,3.9427128847460917,9.364430753756208,50799.04190694011,582.4775025039212,0.08464275126000594,0.915357248739994
90650,7420,73058,7231,19384,487800.0,74440.5,49989696,97209,80289,2.125,11.129580970820081,4.151774659513,6.55288451850807,43484.634974469824,514.249668240595,0.090062150481386,0.909937849518614
90660,4480,46300,4201,12511,490300.0,70482.25,31894548,58484,50501,0.0,12.087598190906927,4.058828231156582,6.956361353390393,43921.42766555831,545.3551056699268,0.08318647155501871,0.9168135284449813
90670,1317,11710,1264,3133,492100.0,71639.5,9408751,17172,12974,0.0,10.30617088607595,4.157995531439515,6.869115501922822,44018.455139431535,547.9123573258794,0.09742562047171266,0.9025743795282873
90680,1905,12785,1739,3600,472800.0,64576.75,12149581,25523,14524,0.0,8.447383553766532,4.080555555555556,7.3215205162848855,42688.39477408189,476.0248011597383,0.11973285596254475,0.8802671440374552
90703,4483,50135,4385,13026,762700.0,107220.5,48563756,66844,54520,2.125,12.45564424173318,4.1929986181483185,7.113378505043345,65848.53017362773,726.5237867273054,0.08042920029347028,0.9195707997065297
90704,210,1759,234,553,863800.0,74656.75,4459432,3946,1993,2.125,8.414529914529915,3.5605786618444846,11.570286678699516,76983.01979834332,1130.114546376077,0.11741093828399397,0.882589061716006
90706,4368,43911,4149,11800,535300.0,62456.0,32446237,67529,48060,2.125,11.636297903109183,4.0914406779661014,8.570833867042397,48477.581223487236,480.4785647647677,0.08632958801498128,0.9136704119850187
90710,2049,16590,1786,4622,523400.0,64345.0,16481354,25682,18376,0.0,10.436170212765957,4.0326698398961485,8.134276167534384,47272.33689322673,641.7472938244684,0.09719198955158903,0.902808010448411
90712,3461,35542,3387,9239,622800.0,99860.0,26428466,44522,38929,2.125,11.515500442869797,4.2215607749756465,6.236731423993591,54102.30424846708,593.6046448946588,0.08700454673893498,0.912995453261065
90713,3231,35327,3178,9115,638600.0,105882.75,25127746,41703,38505,2.125,12.132787916928885,4.230170049369172,6.031199605223702,55194.050424496156,602.540488693859,0.08253473574860408,0.917465264251396
90715,1338,13392,1312,3580,555400.0,75783.25,10568759,21798,14704,2.125,11.227134146341463,4.114525139664805,7.328796270943777,49432.01875750094,484.84994036150107,0.08922742110990206,0.9107725788900979
90716,708,6669,638,1882,442000.0,55840.25,4338822,10547,7307,0.0,11.56269592476489,3.9197662061636556,7.915437341344282,40438.232549653825,411.37972883284345,0.08731353496647051,0.9126864650335295
