zipcode,State,CountyName,City,2018,2019,2020,2021,mean_2018_2021,percent_increase_2018_2021
92544,CA,Riverside County,Hemet,274464.95261890517,286358.64524714823,304164.4266593869,369781.35525789246,308692.3449458332,34.73
92057,CA,San Diego County,Oceanside,498445.3549630347,510938.7906494805,539979.3658164904,638436.7844544685,546950.0739708685,28.09
93551,CA,Los Angeles County,Palmdale,392745.2591859331,408119.1266191496,433300.9822297388,525889.377187478,440013.68630557484,33.9
90745,CA,Los Angeles County,Carson,512140.9809483571,544256.5411179223,581379.9038583217,662711.4046455726,575122.2076425434,29.4
92646,CA,Orange County,Huntington Beach,793097.4950503804,806668.0337384911,854191.5322424719,976728.8400237112,857671.4752637637,23.15
91913,CA,San Diego County,Chula Vista,562579.5278090982,571033.3456615051,609522.2244420578,735792.7247758253,619731.9556721216,30.79
91344,CA,Los Angeles County,Los Angeles,643994.4328004034,669582.6169621662,717898.9140762994,844356.0381214536,718958.0004900807,31.11
90002,CA,Los Angeles County,Los Angeles,377161.45148959453,414621.37407776294,447795.939334389,511264.5617434679,437710.8316613036,35.56
92618,CA,Orange County,Irvine,951412.766135878,952176.0951290764,949641.8823622112,1039724.4588524974,973238.8006199157,9.28
93117,CA,Santa Barbara County,Goleta,870279.6794710038,875921.2384804962,898529.3033578725,1056293.5592530055,925255.9451405946,21.37
93312,CA,Kern County,Bakersfield,294167.1201759937,304327.68140443874,321611.0425285371,374713.8285334216,323704.9181605978,27.38
95122,CA,Santa Clara County,San Jose,745358.6765594903,764383.6186895767,791700.1547797044,907510.280962666,802238.1827478594,21.75
95350,CA,Stanislaus County,Modesto,277445.511063899,293760.74908687157,314393.208036074,373783.3929572768,314845.7152860303,34.72
92840,CA,Orange County,Garden Grove,586428.326311238,601347.7820590682,645380.152015363,737095.6067231474,642562.9667772042,25.69
93277,CA,Tulare County,Visalia,237696.7416781612,248652.89818831024,261684.16162160612,306845.1820659855,263719.7458885157,29.09
91745,CA,Los Angeles County,Hacienda Heights,615001.1736960122,634337.9530385413,664341.8695161863,757553.334407399,667808.5826645347,23.18
92399,CA,San Bernardino County,Yucaipa,377962.1374587707,386255.7823548578,406351.5543100398,473280.8491463898,410962.58081751456,25.22
93003,CA,Ventura County,Ventura,613645.5688363926,626208.1837900424,653143.388572663,750927.0574410694,660981.0496600418,22.37
92557,CA,Riverside County,Moreno Valley,350586.9004457856,364290.9200455083,387337.0902740435,464156.58037716366,391592.8727856252,32.39
91304,CA,Los Angeles County,Los Angeles,645601.9183502208,661784.3596564854,705331.9651808654,828887.6156425168,710401.4647075221,28.39
92243,CA,Imperial County,El Centro,233549.2959213684,252046.97024761548,270109.70296950964,299434.4285389048,263785.0994193496,28.21
91801,CA,Los Angeles County,Alhambra,654569.1294759918,677154.2404535039,699906.4981129207,768817.6392481284,700111.8768226362,17.45
93308,CA,Kern County,,203260.72705587937,214692.9773872878,229300.8754261208,268355.98657453345,228902.64161095535,32.03
94539,CA,Alameda County,Fremont,1588769.8372538704,1563840.9362226038,1546175.404769687,1782577.526557647,1620340.926200952,12.2
91405,CA,Los Angeles County,Los Angeles,530752.5749316191,559520.361455311,607136.1131673891,709784.6060446895,601798.4138997522,33.73
90221,CA,Los Angeles County,Compton,407937.7773348736,438716.83775984583,475189.0509045397,538002.2381660555,464961.4760413286,31.88
90047,CA,Los Angeles County,Los Angeles,463397.677729587,502744.54997393285,547612.4256125196,621860.8657729749,533903.8797722536,34.2
90723,CA,Los Angeles County,Paramount,415722.2477499544,444787.8582039484,469972.9400258647,535721.7451977109,466551.19779436965,28.87
92117,CA,San Diego County,San Diego,691488.0462325314,702255.1069051331,744927.1223995443,876880.0017255383,753887.5693156867,26.81
91605,CA,Los Angeles County,Los Angeles,550303.9654035397,584629.2935443626,634383.3665352474,741138.5563058448,627613.7954472486,34.68
90063,CA,Los Angeles County,East Los Angeles,454748.9573797866,494528.0539289767,532653.088360414,603306.5420730729,521309.16043556255,32.67
92870,CA,Orange County,Placentia,677516.4673096413,683566.0035774229,720184.8904892275,824769.0731854411,726509.1086404332,21.73
95207,CA,San Joaquin County,Stockton,282847.8851215216,299274.89918647584,316070.44985418784,375736.9252424385,318482.53985115595,32.84
92833,CA,Orange County,Fullerton,648366.8324922245,651071.7607672386,681905.8344216712,778294.6838361084,689909.7778793107,20.04
92656,CA,Orange County,Aliso Viejo,612593.4561069242,605376.7093812452,620155.7441720011,706554.4991401946,636170.1022000914,15.34
92505,CA,Riverside County,Riverside,400491.7120426457,417411.7118858521,439925.6742703626,518034.5200802405,443965.9045697752,29.35
92626,CA,Orange County,Costa Mesa,814019.9982236418,818899.5717394231,863846.812042785,993225.4361459753,872497.9545379563,22.01
92024,CA,San Diego County,Encinitas,1050318.6846170754,1076174.9992588616,1139296.0687100585,1388413.2544178157,1163550.7517509528,32.19
94601,CA,Alameda County,Oakland,573834.7548925334,587876.0038701394,610470.619616333,672559.710014175,611185.2720982953,17.2
95037,CA,Santa Clara County,Morgan Hill,970134.2394069224,987179.3030852092,1009319.9658064544,1187023.2501323556,1038414.1896077355,22.36
90034,CA,Los Angeles County,Los Angeles,1089069.9492482657,1139994.9701232282,1204814.6780283835,1355043.2898050824,1197230.72180124,24.42
94550,CA,Alameda County,Livermore,945918.9099365312,925593.92185314,938018.9077806148,1122135.7503442883,982916.8724786437,18.63
95757,CA,Sacramento County,Elk Grove,487990.702061959,498971.0890093144,520659.4121597688,633221.448500151,535210.6629327983,29.76
95116,CA,Santa Clara County,San Jose,707863.2366880113,728391.3704695301,750740.7756998526,851380.2882435881,759593.9177752455,20.27
95616,CA,Yolo County,Davis,676962.600982011,702445.5168030537,722548.1133581056,800193.8752674013,725537.5266026428,18.2
95124,CA,Santa Clara County,San Jose,1315149.443997198,1298816.030829943,1328135.8284338964,1541094.7093348757,1370799.0031489783,17.18
92705,CA,Orange County,North Tustin,916900.3960467876,922881.3580695248,982718.5977239948,1135115.7582306648,989404.027517743,23.8
92701,CA,Orange County,Santa Ana,437945.54640438454,449493.2938513555,478273.3126237362,534962.2476143629,475168.6001234598,22.15
95351,CA,Stanislaus County,Modesto,232029.3642940838,249840.59463906375,268673.5458174584,321752.9181351872,268074.10572144826,38.67
93638,CA,Madera County,Madera,207331.70251761551,223564.16570227395,243801.7652706575,283253.4483483182,239487.7704597163,36.62
92113,CA,San Diego County,San Diego,419380.4643735746,448168.31683718256,478996.2458809353,539041.3255576772,471396.58816234244,28.53
90018,CA,Los Angeles County,Los Angeles,628371.956458191,696533.4985089303,755622.6155824346,846761.6249479506,731822.4238743767,34.75
