ZIP,Count_2021,Avg_1yr,Pct_Increase_1yr,Avg_3yr,Pct_Increase_3yr,Avg_5yr,Pct_Increase_5yr,Avg_10yr,Pct_Increase_10yr
90201,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90220,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90221,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90222,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90223,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90224,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90239,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90240,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90241,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90242,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90247,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90248,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90249,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90250,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90251,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90260,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90261,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90262,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90263,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90264,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90265,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90270,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90290,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90291,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90294,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90301,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90302,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90303,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90304,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90305,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90306,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90307,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90308,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90309,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90310,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90311,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90312,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90313,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90397,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90398,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90501,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90502,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90503,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90504,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90505,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90506,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90507,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90508,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90509,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90510,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90601,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90602,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90603,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90604,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90605,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90606,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90607,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90608,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90609,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90610,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90612,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90630,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
90640,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90650,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90651,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90652,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90659,1,2.0,-50.0,2.3333333333333335,-57.14285714285715,2.2,-54.545454545454554,2.2857142857142856,-56.25
90680,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
