,ZIP Code,earned_premium,earned_exposure,fire_smoke_claims,fire_smoke_losses,growth_exposure,growth_premium,growth_fire_smoke_claims,growth_fire_smoke_losses,ratio_losses_to_premium
0,90001,15005153,34015,126,4157573.0,0.2177799058335328,0.4604041156339429,0.2833333333333332,-0.35270390179819844,0.27707634837178935
1,90002,15336299,31620,95,3793822.0,0.05959661678594674,0.26611582910877374,-0.3571428571428572,-0.595781204538842,0.24737532829791595
2,90003,20549601,40859,133,4313440.0,0.06960744637798455,0.3045148169681706,1.333333333333333,0.9901144215207993,0.20990383219606065
3,90004,39605615,40942,48,3316605.0,0.20867033322549333,0.3434162878057423,-0.08333333333333337,0.7257641120883049,0.08374077766498512
4,90005,13665743,22208,16,885674.0,0.39891540130151837,0.3831515654918678,-0.1428571428571429,10.78806290733085,0.06480979482784067
5,90006,10671112,22738,41,3312606.0,0.27161238439887425,0.34890972225841144,0.16666666666666674,18.936829456698995,0.3104274418636033
6,90007,10749071,31347,33,1399265.0,0.2831164991129509,0.39856446781292787,-0.1428571428571429,0.47330031993533295,0.1301754356260183
7,90008,26759003,29933,83,6279337.0,0.2879986811737554,0.5302440387599885,-0.3933333333333334,-0.5717398470207459,0.23466259187608746
8,90009,825,5,0,0.0,0.0,0.5176470588235293,,,0.0
9,90010,2209516,7465,5,52373.0,0.5123287671232877,0.37494521950736104,-0.5,-0.9611371446422993,0.023703381192985252
10,90011,24815880,49843,134,5187047.0,0.0525147928994083,0.2763099313781885,1.0,5.1420577873559505,0.2090212799223723
11,90012,8739469,33407,18,485369.0,0.16169482576557548,0.3280599389648502,-0.5,-0.9060369712822042,0.05553758472053622
12,90013,4049561,12904,5,88035.0,0.34537572254335247,0.47524814111151414,1.0,-0.82802,0.021739393479935233
13,90014,2776371,11409,9,72240.0,0.43474306502955895,0.5154109460504288,,,0.026019577354755543
14,90015,10259786,31702,18,226724.0,0.4766081871345029,0.4818154707592057,0.0,0.9291139240506328,0.022098316670542642
15,90016,27547927,41956,80,3213968.0,0.1177005455647604,0.3079839863025815,-0.45000000000000007,-0.5073259336143532,0.11666823423773412
16,90017,5263437,23994,18,297261.0,0.2914263744713572,0.4091942405156632,-0.8,-0.29461766491660424,0.0564765950461647
17,90018,23537515,35078,93,8322286.0,0.10884679932869834,0.30262324999408885,-0.5,-0.4224213036705886,0.3535753880560458
18,90019,41664526,51918,89,5525684.0,0.09699975607772982,0.3206610237431289,-0.75,0.19818967826533518,0.13262322965104656
19,90020,18714748,24431,17,309661.0,0.05683620598498473,0.13157959953489917,-0.7551020408163266,-0.6854433313130592,0.016546362259326174
