ZIP,Count_2022,Avg_1yr,Pct_Increase_1yr,Avg_3yr,Pct_Increase_3yr,Avg_5yr,Pct_Increase_5yr,Avg_10yr,Pct_Increase_10yr
95701,1,5.0,-80.0,2.3333333333333335,-57.14285714285715,2.0,-50.0,1.8,-44.44444444444445
95703,1,5.0,-80.0,2.3333333333333335,-57.14285714285715,2.0,-50.0,1.8,-44.44444444444445
95709,1,3.0,-66.66666666666666,2.0,-50.0,1.75,-42.857142857142854,1.6666666666666667,-40.0
95713,1,5.0,-80.0,2.3333333333333335,-57.14285714285715,2.0,-50.0,1.8,-44.44444444444445
95720,1,3.0,-66.66666666666666,2.0,-50.0,1.75,-42.857142857142854,1.6666666666666667,-40.0
95736,1,5.0,-80.0,2.3333333333333335,-57.14285714285715,2.0,-50.0,1.8,-44.44444444444445
95747,1,5.0,-80.0,2.3333333333333335,-57.14285714285715,2.0,-50.0,1.8,-44.44444444444445
95765,1,5.0,-80.0,2.3333333333333335,-57.14285714285715,2.0,-50.0,1.8,-44.44444444444445
95915,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
95947,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
95971,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
95980,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
95983,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
95984,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
96006,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.3333333333333333,-24.999999999999993
96014,3,4.0,-25.0,2.3333333333333335,28.571428571428566,1.8,66.66666666666666,1.8571428571428572,61.53846153846153
96015,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.3333333333333333,-24.999999999999993
96020,1,4.0,-75.0,2.0,-50.0,1.75,-42.857142857142854,1.5,-33.33333333333333
96021,1,2.0,-50.0,1.6666666666666667,-40.0,1.5,-33.33333333333333,1.3333333333333333,-24.999999999999993
96023,3,4.0,-25.0,2.3333333333333335,28.571428571428566,1.8,66.66666666666666,1.8571428571428572,61.53846153846153
96025,3,4.0,-25.0,2.3333333333333335,28.571428571428566,1.8,66.66666666666666,1.8571428571428572,61.53846153846153
96027,3,4.0,-25.0,2.3333333333333335,28.571428571428566,1.8,66.66666666666666,1.8571428571428572,61.53846153846153
96029,1,2.0,-50.0,1.6666666666666667,-40.0,1.5,-33.33333333333333,1.3333333333333333,-24.999999999999993
96034,3,4.0,-25.0,2.3333333333333335,28.571428571428566,1.8,66.66666666666666,1.8571428571428572,61.53846153846153
96035,1,2.0,-50.0,1.6666666666666667,-40.0,1.5,-33.33333333333333,1.3333333333333333,-24.999999999999993
96037,3,4.0,-25.0,2.3333333333333335,28.571428571428566,1.8,66.66666666666666,1.8571428571428572,61.53846153846153
