,ZIP Code,market_units,fair_plan_units,total_units,pct_market,pct_fair_plan,exposure_22
0,90001,6913,2104,9017,0.7666629699456582,0.2333370300543418,532891886
1,90002,6534,1330,7864,0.8308748728382502,0.16912512716174974,391005676
2,90003,8716,1934,10650,0.8184037558685446,0.1815962441314554,517188602
3,90004,4710,495,5205,0.9048991354466859,0.09510086455331412,191648836
4,90005,996,100,1096,0.9087591240875912,0.09124087591240876,54169330
5,90006,2402,836,3238,0.7418159357628166,0.25818406423718343,235567228
6,90007,2369,728,3097,0.7649338069099129,0.2350661930900872,199358232
7,90008,4774,244,5018,0.9513750498206457,0.04862495017935432,116575448
8,90011,10249,3336,13585,0.7544350386455649,0.24556496135443504,834345596
9,90012,827,87,914,0.9048140043763676,0.09518599562363239,25670000
10,90013,98,0,98,1.0,0.0,1714013
11,90014,56,0,56,1.0,0.0,$                                   -
12,90015,433,108,541,0.800369685767098,0.19963031423290203,39756325
13,90016,7218,757,7975,0.9050783699059561,0.09492163009404389,236411380
14,90017,192,21,213,0.9014084507042254,0.09859154929577464,7131581
15,90018,6469,1236,7705,0.8395846852693056,0.16041531473069434,398532989
16,90019,8223,979,9202,0.8936100847641817,0.1063899152358183,353309012
17,90020,769,35,804,0.9564676616915423,0.043532338308457715,25233833
18,90021,67,9,76,0.881578947368421,0.11842105263157894,4169954
19,90022,9614,1315,10929,0.879677921127276,0.12032207887272395,347293084
20,90023,4988,1313,6301,0.7916203777178226,0.20837962228217743,325600729
21,90024,3027,22,3049,0.9927845195145949,0.007215480485405051,26971407
22,90025,2833,53,2886,0.9816354816354816,0.018364518364518363,23389032
23,90026,9124,1114,10238,0.8911896854854464,0.10881031451455363,299533627
24,90027,5380,291,5671,0.9486862987127491,0.05131370128725093,227532892
25,90028,748,59,807,0.9268897149938042,0.07311028500619579,19396769
26,90029,2423,367,2790,0.8684587813620072,0.13154121863799284,99631368
27,90031,5094,875,5969,0.8534092812866477,0.14659071871335233,236368301
28,90032,7497,662,8159,0.9188626057114843,0.08113739428851575,204182029
29,90033,4107,997,5104,0.8046630094043887,0.1953369905956113,238028522
30,90034,5072,109,5181,0.9789615904265586,0.02103840957344142,44547520
31,90035,4215,89,4304,0.97932156133829,0.020678438661710038,43397510
32,90036,3739,92,3831,0.9759853824066823,0.02401461759331767,63471994
33,90037,6424,2002,8426,0.762402088772846,0.23759791122715404,539903171
34,90038,1628,162,1790,0.9094972067039107,0.09050279329608939,39805291
35,90039,7249,375,7624,0.950813221406086,0.04918677859391395,127146068
36,90040,2070,178,2248,0.9208185053380783,0.0791814946619217,53028728
37,90041,5955,252,6207,0.9594006766553891,0.04059932334461092,116748568
38,90043,9830,690,10520,0.9344106463878327,0.0655893536121673,269200641
39,90044,12618,2127,14745,0.8557477110885046,0.1442522889114954,599579781
40,90045,8968,28,8996,0.9968875055580257,0.0031124944419742106,18919871
41,90046,4814,1850,6664,0.7223889555822329,0.2776110444177671,2426873070
42,90047,11524,941,12465,0.9245086241476134,0.07549137585238669,316189559
43,90048,3631,102,3733,0.9726761317974819,0.027323868202518083,56381293
44,90049,6654,887,7541,0.8823763426601247,0.11762365733987534,1888228709
45,90056,2275,16,2291,0.9930161501527717,0.006983849847228284,15599315
46,90057,525,127,652,0.8052147239263804,0.19478527607361965,40607432
47,90058,147,58,205,0.7170731707317073,0.28292682926829266,12663636
48,90059,5742,798,6540,0.8779816513761468,0.12201834862385322,248264383
49,90061,3951,581,4532,0.8718005295675199,0.12819947043248014,163146599
50,90062,5401,1045,6446,0.8378839590443686,0.1621160409556314,328712352
51,90063,7355,1659,9014,0.8159529620590193,0.1840470379409807,437203512
52,90064,6257,47,6304,0.9925444162436549,0.0074555837563451775,22512477
53,90065,9252,835,10087,0.9172201843957569,0.08277981560424308,356827197
54,90066,10267,53,10320,0.9948643410852713,0.005135658914728682,31185948
55,90067,133,0,133,1.0,0.0,728932
56,90068,4931,1116,6047,0.8154456755415909,0.18455432445840914,1417786378
57,90069,2548,242,2790,0.9132616487455197,0.08673835125448029,415182620
58,90077,1680,1433,3113,0.5396723417924831,0.46032765820751687,2531735350
59,90094,499,0,499,1.0,0.0,427050
60,90201,11460,1116,12576,0.9112595419847328,0.08874045801526717,283630711
61,90210,4464,1803,6267,0.7123025370990905,0.28769746290090953,3745871198
62,90211,1269,35,1304,0.973159509202454,0.026840490797546013,29049584
63,90212,1316,28,1344,0.9791666666666666,0.020833333333333332,28549525
64,90220,8811,701,9512,0.9263036164844407,0.0736963835155593,213310049
65,90221,7454,871,8325,0.8953753753753754,0.10462462462462463,273156086
66,90222,4816,611,5427,0.8874147779620416,0.11258522203795836,182708008
67,90230,5189,44,5233,0.9915918211351041,0.008408178864895853,24989090
68,90232,3336,42,3378,0.9875666074600356,0.012433392539964476,15289463
69,90240,5457,109,5566,0.9804168163851958,0.019583183614804166,61406225
70,90241,7201,124,7325,0.9830716723549489,0.016928327645051193,64556262
71,90242,7163,159,7322,0.9782846216880634,0.02171537831193663,69708416
72,90245,3359,4,3363,0.9988105857865002,0.0011894142134998512,2038250
73,90247,7575,224,7799,0.9712783690216694,0.028721630978330557,72133990
74,90248,2326,46,2372,0.9806070826306914,0.0193929173693086,18091131
75,90249,5396,77,5473,0.9859309336744017,0.014069066325598392,30983794
76,90250,12867,378,13245,0.9714609286523216,0.028539071347678368,111099896
77,90254,5181,16,5197,0.996921300750433,0.003078699249567058,4622877
78,90255,8518,1150,9668,0.8810508895324782,0.11894911046752173,344265759
79,90260,6475,148,6623,0.9776536312849162,0.0223463687150838,46079594
80,90262,8712,853,9565,0.9108207004704653,0.08917929952953477,281460380
81,90265,3757,1693,5450,0.6893577981651376,0.3106422018348624,3127641732
82,90266,10842,34,10876,0.9968738506803972,0.003126149319602795,28544099
83,90270,3381,419,3800,0.8897368421052632,0.11026315789473684,114175618
84,90272,6613,578,7191,0.9196217494089834,0.08037825059101655,1101997923
85,90274,8263,45,8308,0.9945835339431873,0.005416466056812711,77538324
86,90275,12158,61,12219,0.9950077747769867,0.00499222522301334,73495568
87,90277,6847,34,6881,0.995058857724168,0.004941142275832001,14795220
