ZIP Code,State,CountyName,City,pct_fair_plan,exposure_22,earned_premium_y,growth_premium,fire_smoke_claims,fire_smoke_losses,growth_fire_smoke_claims,growth_fire_smoke_losses,new_policies_y,renewed_policies_y,nonrenewed_policies_y,expiring_policies_y,company_nonrenewed,owner_nonrenewed,pct_nonrenewed_policies,pct_nonrenewed_owner,pct_nonrenewed_company,change_new_policies,change_renewed_policies,change_nonrenewed_owner,change_nonrenewed_company,Avg_Median_Income_2018_2021_y,Avg_Growth_Rate_2018_2021,Avg_Percentage_2018_2021,Avg_Change_2018_2021,housing_units,median_gross_rent,median_ownership_cost,median_home_value_y,mean_2018_2021,percent_increase_2018_2021,Sum_3yr,Sum_5yr,Sum_10yr,ratio_new_to_nonrenewed,ratio_losses_to_premium,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Climate_Disasters_Avf_10yr,total_units_y
90001,CA,Los Angeles County,Florence-Graham,0.2333370300543418,532891886,15005153,0.4604041156339429,126,4157573.0,0.2833333333333332,-0.3527039017981984,3162,22127,2853,24980,1780,1073,0.1142113690952762,0.0429543634907926,0.0712570056044835,0.3111782477341389,0.0206317327003833,0.0583756345177663,0.5181818181818181,45674.5,0.1109191659109112,48.55,-2.566666666666665,14010,1262.0,427.0,425200.0,447563.0663359044,31.65,0.0,0.0,0.0,1.1083070452155626,0.2770763483717893,8.864002804065896,2.8045913274925143,441.1334117301191,0.1142113690952762,0.8857886309047238,9.309352045452057,39629.81563929518,0.0,9017
90002,CA,Los Angeles County,Los Angeles,0.1691251271617497,391005676,15336299,0.2661158291087737,95,3793822.0,-0.3571428571428572,-0.595781204538842,3448,21908,3113,25021,2091,1022,0.1244154909875704,0.0408456896207186,0.0835698013668518,0.1076555023923444,0.044131455399061,0.1326315789473684,0.4851063829787234,40274.75,0.0928768432923299,48.55,-2.566666666666665,13577,1287.0,465.0,411500.0,437710.8316613036,35.56,0.0,0.0,0.0,1.1076132348217154,0.2473753282979159,8.14519755862512,3.224313326551373,485.0189437065149,0.1244154909875704,0.8755845090124296,10.217319784728645,38808.01397020461,0.0,7864
90003,CA,Los Angeles County,Los Angeles,0.1815962441314554,517188602,20549601,0.3045148169681706,133,4313440.0,1.333333333333333,0.9901144215207992,4525,26933,3971,30904,2667,1304,0.128494693243593,0.0421951850893088,0.0862995081542842,0.1526861451460885,0.0579198033492087,0.2099173553719009,0.3742138364779874,41944.25,0.0870374945260151,48.55,-2.566666666666665,18501,1293.0,555.0,430800.0,464281.6805525394,33.98,0.0,0.0,0.0,1.1395114580710148,0.2099038321960606,7.921934021657013,2.9538028169014083,502.9394013558824,0.128494693243593,0.8715053067564069,10.270776089690482,40473.13875384601,0.0,10650
90004,CA,Los Angeles County,Los Angeles,0.0951008645533141,191648836,39605615,0.3434162878057423,48,3316605.0,-0.0833333333333333,0.7257641120883049,2182,15683,2138,17821,1704,434,0.1199708209415857,0.0243532910611076,0.095617529880478,0.1578947368421053,-0.006382435537401,0.1974683544303797,0.0917431192660549,51537.75,0.0408174148758266,48.55,-2.566666666666665,25100,1530.0,829.0,1148400.0,1261786.3673932266,20.65,0.0,0.0,0.0,1.0205799812909262,0.0837407776649851,8.355940130963518,3.4322766570605188,967.3590689267744,0.1199708209415857,0.8800291790584143,22.28269569393309,105842.63679606227,0.0,5205
90005,CA,Los Angeles County,Los Angeles,0.0912408759124087,54169330,13665743,0.3831515654918678,16,885674.0,-0.1428571428571429,10.78806290733085,521,3357,509,3866,384,125,0.1316606311433005,0.0323331608898085,0.0993274702534919,0.016,0.001199040767386,0.2045454545454545,-0.1212121212121212,40237.75,0.085301341558891,48.55,-2.566666666666665,18128,1413.0,1123.0,964700.0,905602.1202648832,14.3,0.0,0.0,0.0,1.0235756385068762,0.0648097948278406,7.618860510805501,3.538321167883212,615.3522604466859,0.1316606311433005,0.8683393688566994,23.97499860205901,90987.452005901,0.0,1096
90006,CA,Los Angeles County,Los Angeles,0.2581840642371834,235567228,10671112,0.3489097222584114,41,3312606.0,0.1666666666666667,18.936829456698995,1224,6790,1089,7879,750,339,0.1382155095824343,0.0430257646909506,0.0951897448914836,0.3133802816901407,0.0438489646772228,0.1988950276243093,0.9014084507042252,37731.5,0.0512963258366604,48.55,-2.566666666666665,20912,1234.0,664.0,716900.0,720610.4872210784,18.98,0.0,0.0,0.0,1.1239669421487604,0.3104274418636033,7.359044995408632,2.474984558369364,469.3074149001672,0.1382155095824343,0.8617844904175657,19.00003975458172,68028.36916351541,0.0,3238
90007,CA,Los Angeles County,Los Angeles,0.2350661930900872,199358232,10749071,0.3985644678129278,33,1399265.0,-0.1428571428571429,0.4733003199353329,1143,7147,991,8138,723,268,0.1217743917424428,0.0329319243057262,0.0888424674367166,0.3811475409836065,0.0549768518518518,0.7593984962406015,0.7454545454545454,29096.0,0.0961946588680729,48.55,-2.566666666666665,13513,1252.0,676.0,717300.0,764346.6747325801,33.13,0.0,0.0,0.0,1.153380423814329,0.1301754356260183,8.365287588294652,2.6767839845011303,342.9058921108878,0.1217743917424428,0.8782256082575571,24.652873247181745,69787.42523906431,0.0,3097
90008,CA,Los Angeles County,Los Angeles,0.0486249501793543,116575448,26759003,0.5302440387599885,83,6279337.0,-0.3933333333333334,-0.5717398470207459,2012,17624,1903,19527,1528,375,0.0974548061658216,0.0192041788293132,0.0782506273365084,0.1169102296450939,0.013516609392898,0.1005586592178771,0.1443298969072164,44970.0,0.0737598132244157,48.55,-2.566666666666665,15900,1377.0,525.0,781600.0,870465.9949641352,38.79,0.0,0.0,0.0,1.0572779821334737,0.2346625918760874,10.318444561219128,3.9131127939418096,893.9632846690943,0.0974548061658216,0.9025451938341784,17.38047587280409,72952.9749918137,0.0,5018
90011,CA,Los Angeles County,Los Angeles,0.245564961354435,834345596,24815880,0.2763099313781885,134,5187047.0,1.0,5.142057787355951,5015,30290,4442,34732,2892,1550,0.1278935851664171,0.0446274329148911,0.0832661522515259,0.2742214532871971,0.0393220338983051,0.2758064516129033,0.5701219512195121,42409.0,0.0846372039734198,48.55,-2.566666666666665,25531,1307.0,605.0,452100.0,467878.6894986439,33.47,0.0,0.0,0.0,1.128995947771274,0.2090212799223723,7.94799639801891,2.598822230401178,497.88094617097687,0.1278935851664171,0.8721064148335829,10.660473012803886,42430.3222011732,0.0,13585
90012,CA,Los Angeles County,Los Angeles,0.0951859956236323,25670000,8739469,0.3280599389648502,18,485369.0,-0.5,-0.9060369712822042,296,2660,279,2939,225,54,0.094930248383804,0.0183735964613814,0.0765566519224225,0.6842105263157894,0.0303951367781154,0.0517241379310344,0.1764705882352941,48121.25,0.0803980545289732,48.55,-2.566666666666665,15751,1859.0,662.0,633000.0,608142.6937850184,12.7,0.0,0.0,0.0,1.060931899641577,0.0555375847205362,10.594982078853048,3.2341356673960613,261.6059209147783,0.094930248383804,0.905069751616196,13.154271761435956,58711.79560801689,0.0,914
